carpark_number,update_datetime,total_lots,lots_available,lot_type,availability_rate,parking_pressure,risk_category,retrieved_at
HE12,2026-05-27T21:57:42,105,101,C,0.9619047619047619,0.03809523809523807,Low Risk,2026-05-27 21:59:39
HLM,2026-05-27T21:58:16,583,497,C,0.8524871355060034,0.1475128644939966,Low Risk,2026-05-27 21:59:39
RHM,2026-05-27T21:57:42,329,168,C,0.5106382978723404,0.4893617021276596,Low Risk,2026-05-27 21:59:39
BM29,2026-05-27T21:57:52,96,63,C,0.65625,0.34375,Low Risk,2026-05-27 21:59:39
Q81,2026-05-27T21:58:13,97,79,C,0.8144329896907216,0.18556701030927836,Low Risk,2026-05-27 21:59:39
C20,2026-05-27T21:57:50,176,118,C,0.6704545454545454,0.3295454545454546,Low Risk,2026-05-27 21:59:39
FR3M,2026-05-27T21:57:51,228,176,C,0.7719298245614035,0.22807017543859653,Low Risk,2026-05-27 21:59:39
ACE,2026-05-27T21:57:17,485,447,C,0.9216494845360824,0.07835051546391758,Low Risk,2026-05-27 21:59:39
C6,2026-05-27T21:57:58,332,135,C,0.4066265060240964,0.5933734939759037,Low Risk,2026-05-27 21:59:39
TG2,2026-05-27T21:57:50,273,101,C,0.36996336996337,0.63003663003663,Low Risk,2026-05-27 21:59:39
BP1,2026-05-27T21:58:15,577,295,C,0.511265164644714,0.48873483535528595,Low Risk,2026-05-27 21:59:39
TG1,2026-05-27T21:58:01,133,73,C,0.5488721804511278,0.45112781954887216,Low Risk,2026-05-27 21:59:39
TGM2,2026-05-27T21:57:50,189,123,C,0.6507936507936508,0.3492063492063492,Low Risk,2026-05-27 21:59:39
TE14,2026-05-27T21:58:08,105,44,C,0.41904761904761906,0.5809523809523809,Low Risk,2026-05-27 21:59:39
BM3,2026-05-27T21:57:55,5,0,C,0.0,1.0,High Risk,2026-05-27 21:59:39
W93,2026-05-27T21:55:03,375,231,C,0.616,0.384,Low Risk,2026-05-27 21:59:39
HG44,2026-05-27T21:57:50,155,38,C,0.24516129032258063,0.7548387096774194,Medium Risk,2026-05-27 21:59:39
HG64,2026-05-27T21:57:40,82,40,C,0.4878048780487805,0.5121951219512195,Low Risk,2026-05-27 21:59:39
PM27,2026-05-27T21:53:44,326,137,C,0.42024539877300615,0.5797546012269938,Low Risk,2026-05-27 21:59:39
PM28,2026-05-27T21:57:16,309,123,C,0.39805825242718446,0.6019417475728155,Low Risk,2026-05-27 21:59:39
TM36,2026-05-27T21:50:36,225,80,C,0.35555555555555557,0.6444444444444444,Low Risk,2026-05-27 21:59:39
TM37,2026-05-27T21:54:50,244,96,C,0.39344262295081966,0.6065573770491803,Low Risk,2026-05-27 21:59:39
T50,2026-05-27T21:56:58,350,121,C,0.3457142857142857,0.6542857142857144,Low Risk,2026-05-27 21:59:39
T51,2026-05-27T21:56:57,346,71,C,0.20520231213872833,0.7947976878612717,Medium Risk,2026-05-27 21:59:39
TM43,2026-05-27T21:55:54,247,182,C,0.7368421052631579,0.26315789473684215,Low Risk,2026-05-27 21:59:39
T15,2026-05-27T21:55:54,30,10,C,0.3333333333333333,0.6666666666666667,Low Risk,2026-05-27 21:59:39
T16,2026-05-27T21:48:39,109,38,C,0.3486238532110092,0.6513761467889908,Low Risk,2026-05-27 21:59:39
T17,2026-05-27T21:55:55,228,125,C,0.5482456140350878,0.45175438596491224,Low Risk,2026-05-27 21:59:39
T18,2026-05-27T21:55:38,81,42,C,0.5185185185185185,0.4814814814814815,Low Risk,2026-05-27 21:59:39
B9,2026-05-27T21:56:25,213,130,C,0.6103286384976526,0.3896713615023474,Low Risk,2026-05-27 21:59:39
B10,2026-05-27T21:58:01,516,234,C,0.45348837209302323,0.5465116279069768,Low Risk,2026-05-27 21:59:39
W92,2026-05-27T21:55:12,280,92,C,0.32857142857142857,0.6714285714285715,Low Risk,2026-05-27 21:59:39
WCB,2026-05-27T21:51:59,143,74,C,0.5174825174825175,0.4825174825174825,Low Risk,2026-05-27 21:59:39
ACB,2026-05-27T21:55:12,91,58,C,0.6373626373626373,0.3626373626373627,Low Risk,2026-05-27 21:59:39
CY,2026-05-27T21:55:24,36,14,C,0.3888888888888889,0.6111111111111112,Low Risk,2026-05-27 21:59:39
AM46,2026-05-27T21:44:58,403,95,C,0.23573200992555832,0.7642679900744417,Medium Risk,2026-05-27 21:59:39
A12,2026-05-27T21:58:07,194,107,C,0.5515463917525774,0.44845360824742264,Low Risk,2026-05-27 21:59:39
BE45,2026-05-27T21:57:55,363,76,C,0.209366391184573,0.790633608815427,Medium Risk,2026-05-27 21:59:39
BE39,2026-05-27T21:58:03,705,152,C,0.21560283687943263,0.7843971631205674,Medium Risk,2026-05-27 21:59:39
W74,2026-05-27T21:55:30,365,200,C,0.547945205479452,0.452054794520548,Low Risk,2026-05-27 21:59:39
