carpark_number,update_datetime,total_lots,lots_available,lot_type,availability_rate,parking_pressure,risk_category,retrieved_at
HE12,2026-05-23T15:09:29,105,101,C,0.9619047619047619,0.03809523809523807,Low Risk,2026-05-23 15:11:33
HLM,2026-05-23T15:09:59,583,260,C,0.44596912521440824,0.5540308747855918,Low Risk,2026-05-23 15:11:33
RHM,2026-05-23T15:09:29,329,167,C,0.5075987841945289,0.49240121580547114,Low Risk,2026-05-23 15:11:33
BM29,2026-05-23T15:10:13,96,0,C,0.0,1.0,High Risk,2026-05-23 15:11:33
Q81,2026-05-23T15:10:15,97,44,C,0.4536082474226804,0.5463917525773196,Low Risk,2026-05-23 15:11:33
C20,2026-05-23T15:10:04,176,36,C,0.20454545454545456,0.7954545454545454,Medium Risk,2026-05-23 15:11:33
FR3M,2026-05-23T15:10:05,228,156,C,0.6842105263157895,0.3157894736842105,Low Risk,2026-05-23 15:11:33
ACE,2026-05-23T15:09:53,485,437,C,0.9010309278350516,0.09896907216494844,Low Risk,2026-05-23 15:11:33
C6,2026-05-23T15:10:18,332,135,C,0.4066265060240964,0.5933734939759037,Low Risk,2026-05-23 15:11:33
TG2,2026-05-23T15:09:57,273,142,C,0.5201465201465202,0.4798534798534798,Low Risk,2026-05-23 15:11:33
BP1,2026-05-23T15:09:56,577,335,C,0.5805892547660312,0.4194107452339688,Low Risk,2026-05-23 15:11:33
TG1,2026-05-23T15:10:14,133,94,C,0.706766917293233,0.29323308270676696,Low Risk,2026-05-23 15:11:33
TGM2,2026-05-23T15:09:57,189,138,C,0.7301587301587301,0.2698412698412699,Low Risk,2026-05-23 15:11:33
TE14,2026-05-23T15:10:02,105,55,C,0.5238095238095238,0.47619047619047616,Low Risk,2026-05-23 15:11:33
BM3,2026-05-23T15:10:17,5,0,C,0.0,1.0,High Risk,2026-05-23 15:11:33
W93,2026-05-23T15:07:13,375,275,C,0.7333333333333333,0.2666666666666667,Low Risk,2026-05-23 15:11:33
HG44,2026-05-23T15:08:20,155,18,C,0.11612903225806452,0.8838709677419355,Medium Risk,2026-05-23 15:11:33
HG64,2026-05-23T15:08:36,82,35,C,0.4268292682926829,0.5731707317073171,Low Risk,2026-05-23 15:11:33
PM27,2026-05-23T15:08:35,326,197,C,0.6042944785276073,0.3957055214723927,Low Risk,2026-05-23 15:11:33
PM28,2026-05-23T15:08:27,309,156,C,0.5048543689320388,0.49514563106796117,Low Risk,2026-05-23 15:11:33
TM36,2026-05-23T15:05:39,225,117,C,0.52,0.48,Low Risk,2026-05-23 15:11:33
TM37,2026-05-23T15:08:50,244,127,C,0.5204918032786885,0.4795081967213115,Low Risk,2026-05-23 15:11:33
T50,2026-05-23T15:07:51,350,191,C,0.5457142857142857,0.4542857142857143,Low Risk,2026-05-23 15:11:33
T51,2026-05-23T15:08:45,346,147,C,0.42485549132947975,0.5751445086705202,Low Risk,2026-05-23 15:11:33
TM43,2026-05-23T15:08:21,247,157,C,0.6356275303643725,0.3643724696356275,Low Risk,2026-05-23 15:11:33
T15,2026-05-23T15:08:21,30,4,C,0.13333333333333333,0.8666666666666667,Medium Risk,2026-05-23 15:11:33
T16,2026-05-23T15:08:35,109,49,C,0.44954128440366975,0.5504587155963303,Low Risk,2026-05-23 15:11:33
T17,2026-05-23T15:08:53,228,80,C,0.3508771929824561,0.6491228070175439,Low Risk,2026-05-23 15:11:33
T18,2026-05-23T15:08:46,81,0,C,0.0,1.0,High Risk,2026-05-23 15:11:33
B9,2026-05-23T15:10:03,213,152,C,0.7136150234741784,0.2863849765258216,Low Risk,2026-05-23 15:11:33
B10,2026-05-23T15:10:01,516,282,C,0.5465116279069767,0.4534883720930233,Low Risk,2026-05-23 15:11:33
W92,2026-05-23T15:07:33,280,149,C,0.5321428571428571,0.46785714285714286,Low Risk,2026-05-23 15:11:33
WCB,2026-05-23T14:49:47,143,1,C,0.006993006993006993,0.993006993006993,High Risk,2026-05-23 15:11:33
ACB,2026-05-23T15:05:57,91,3,C,0.03296703296703297,0.967032967032967,High Risk,2026-05-23 15:11:33
CY,2026-05-23T15:08:07,36,0,C,0.0,1.0,High Risk,2026-05-23 15:11:33
AM46,2026-05-23T14:54:52,403,75,C,0.18610421836228289,0.8138957816377171,Medium Risk,2026-05-23 15:11:33
A12,2026-05-23T15:09:56,194,128,C,0.6597938144329897,0.3402061855670103,Low Risk,2026-05-23 15:11:33
BE45,2026-05-23T15:09:56,363,149,C,0.41046831955922863,0.5895316804407713,Low Risk,2026-05-23 15:11:33
BE39,2026-05-23T15:09:53,705,290,C,0.41134751773049644,0.5886524822695036,Low Risk,2026-05-23 15:11:33
W74,2026-05-23T15:07:11,365,240,C,0.6575342465753424,0.34246575342465757,Low Risk,2026-05-23 15:11:33
Y79M,2026-05-23T15:05:59,453,292,C,0.6445916114790287,0.35540838852097134,Low Risk,2026-05-23 15:11:33
CR29,2026-05-23T15:08:57,72,7,C,0.09722222222222222,0.9027777777777778,High Risk,2026-05-23 15:11:33
KLM,2026-05-23T15:08:57,348,222,C,0.6379310344827587,0.3620689655172413,Low Risk,2026-05-23 15:11:33
SE34,2026-05-23T15:09:53,270,125,C,0.46296296296296297,0.537037037037037,Low Risk,2026-05-23 15:11:33
KB7,2026-05-23T15:08:54,65,62,C,0.9538461538461539,0.0461538461538461,Low Risk,2026-05-23 15:11:33
SE31,2026-05-23T15:09:55,187,54,C,0.2887700534759358,0.7112299465240641,Medium Risk,2026-05-23 15:11:33
J56,2026-05-23T15:08:40,15,0,C,0.0,1.0,High Risk,2026-05-23 15:11:33
J57,2026-05-23T15:08:57,363,52,C,0.14325068870523416,0.8567493112947658,Medium Risk,2026-05-23 15:11:33
J57L,2026-05-23T15:08:57,13,4,C,0.3076923076923077,0.6923076923076923,Low Risk,2026-05-23 15:11:33
J33,2026-05-23T15:08:50,136,75,C,0.5514705882352942,0.44852941176470584,Low Risk,2026-05-23 15:11:33
J34,2026-05-23T15:06:11,105,57,C,0.5428571428571428,0.4571428571428572,Low Risk,2026-05-23 15:11:33
BL8,2026-05-23T15:08:54,657,274,C,0.4170471841704718,0.5829528158295282,Low Risk,2026-05-23 15:11:33
