carpark_number,update_datetime,total_lots,lots_available,lot_type,availability_rate,parking_pressure,risk_category,retrieved_at
HE12,2026-05-24T12:39:24,105,101,C,0.9619047619047619,0.03809523809523807,Low Risk,2026-05-24 12:41:16
HLM,2026-05-24T12:40:08,583,280,C,0.48027444253859347,0.5197255574614066,Low Risk,2026-05-24 12:41:16
RHM,2026-05-24T12:39:24,329,85,C,0.25835866261398177,0.7416413373860182,Medium Risk,2026-05-24 12:41:16
BM29,2026-05-24T12:40:06,96,5,C,0.052083333333333336,0.9479166666666666,High Risk,2026-05-24 12:41:16
Q81,2026-05-24T12:40:10,97,6,C,0.061855670103092786,0.9381443298969072,High Risk,2026-05-24 12:41:16
C20,2026-05-24T12:40:13,176,13,C,0.07386363636363637,0.9261363636363636,High Risk,2026-05-24 12:41:16
FR3M,2026-05-24T12:40:25,228,103,C,0.4517543859649123,0.5482456140350878,Low Risk,2026-05-24 12:41:16
ACE,2026-05-24T12:39:43,485,452,C,0.931958762886598,0.06804123711340204,Low Risk,2026-05-24 12:41:16
C6,2026-05-24T12:40:03,332,90,C,0.2710843373493976,0.7289156626506024,Medium Risk,2026-05-24 12:41:16
TG2,2026-05-24T12:40:17,273,115,C,0.42124542124542125,0.5787545787545787,Low Risk,2026-05-24 12:41:16
BP1,2026-05-24T12:40:18,577,342,C,0.5927209705372617,0.4072790294627383,Low Risk,2026-05-24 12:41:16
TG1,2026-05-24T12:40:07,133,82,C,0.6165413533834586,0.3834586466165414,Low Risk,2026-05-24 12:41:16
TGM2,2026-05-24T12:40:17,189,124,C,0.656084656084656,0.34391534391534395,Low Risk,2026-05-24 12:41:16
TE14,2026-05-24T12:40:17,105,46,C,0.4380952380952381,0.5619047619047619,Low Risk,2026-05-24 12:41:16
BM3,2026-05-24T12:40:16,5,0,C,0.0,1.0,High Risk,2026-05-24 12:41:16
W93,2026-05-24T12:37:26,375,263,C,0.7013333333333334,0.29866666666666664,Low Risk,2026-05-24 12:41:16
HG44,2026-05-24T12:39:19,155,0,C,0.0,1.0,High Risk,2026-05-24 12:41:16
HG64,2026-05-24T12:39:38,82,0,C,0.0,1.0,High Risk,2026-05-24 12:41:16
PM27,2026-05-24T12:38:38,326,187,C,0.5736196319018405,0.4263803680981595,Low Risk,2026-05-24 12:41:16
