carpark_number,update_datetime,total_lots,lots_available,lot_type,availability_rate,parking_pressure,risk_category,retrieved_at
HE12,2026-05-26T12:47:37,105,101,C,0.9619047619047619,0.03809523809523807,Low Risk,2026-05-26 12:49:42
HLM,2026-05-26T12:48:01,583,0,C,0.0,1.0,High Risk,2026-05-26 12:49:42
RHM,2026-05-26T12:47:38,329,112,C,0.3404255319148936,0.6595744680851063,Low Risk,2026-05-26 12:49:42
BM29,2026-05-26T12:48:03,96,9,C,0.09375,0.90625,High Risk,2026-05-26 12:49:42
Q81,2026-05-26T12:48:26,97,0,C,0.0,1.0,High Risk,2026-05-26 12:49:42
C20,2026-05-26T12:48:12,176,26,C,0.14772727272727273,0.8522727272727273,Medium Risk,2026-05-26 12:49:42
FR3M,2026-05-26T12:47:59,228,94,C,0.41228070175438597,0.5877192982456141,Low Risk,2026-05-26 12:49:42
ACE,2026-05-26T12:47:27,485,402,C,0.8288659793814434,0.17113402061855665,Low Risk,2026-05-26 12:49:42
C6,2026-05-26T12:48:03,332,138,C,0.41566265060240964,0.5843373493975903,Low Risk,2026-05-26 12:49:42
TG2,2026-05-26T12:48:00,273,96,C,0.3516483516483517,0.6483516483516483,Low Risk,2026-05-26 12:49:42
BP1,2026-05-26T12:48:24,577,348,C,0.6031195840554593,0.3968804159445407,Low Risk,2026-05-26 12:49:42
TG1,2026-05-26T12:48:27,133,107,C,0.8045112781954887,0.19548872180451127,Low Risk,2026-05-26 12:49:42
TGM2,2026-05-26T12:48:01,189,120,C,0.6349206349206349,0.3650793650793651,Low Risk,2026-05-26 12:49:42
TE14,2026-05-26T12:47:59,105,59,C,0.5619047619047619,0.4380952380952381,Low Risk,2026-05-26 12:49:42
BM3,2026-05-26T12:48:13,5,0,C,0.0,1.0,High Risk,2026-05-26 12:49:42
W93,2026-05-26T12:45:17,375,287,C,0.7653333333333333,0.2346666666666667,Low Risk,2026-05-26 12:49:42
HG44,2026-05-26T12:47:55,155,0,C,0.0,1.0,High Risk,2026-05-26 12:49:42
HG64,2026-05-26T12:47:36,82,0,C,0.0,1.0,High Risk,2026-05-26 12:49:42
PM27,2026-05-26T12:47:19,326,224,C,0.6871165644171779,0.31288343558282206,Low Risk,2026-05-26 12:49:42
PM28,2026-05-26T12:47:06,309,197,C,0.6375404530744336,0.36245954692556637,Low Risk,2026-05-26 12:49:42
TM36,2026-05-26T12:44:51,225,150,C,0.6666666666666666,0.33333333333333337,Low Risk,2026-05-26 12:49:42
TM37,2026-05-26T12:39:36,244,171,C,0.7008196721311475,0.2991803278688525,Low Risk,2026-05-26 12:49:42
T50,2026-05-26T12:44:53,350,207,C,0.5914285714285714,0.4085714285714286,Low Risk,2026-05-26 12:49:42
T51,2026-05-26T12:46:31,346,184,C,0.5317919075144508,0.4682080924855492,Low Risk,2026-05-26 12:49:42
TM43,2026-05-26T12:46:44,247,159,C,0.6437246963562753,0.35627530364372473,Low Risk,2026-05-26 12:49:42
T15,2026-05-26T12:46:44,30,0,C,0.0,1.0,High Risk,2026-05-26 12:49:42
T16,2026-05-26T12:46:56,109,42,C,0.3853211009174312,0.6146788990825688,Low Risk,2026-05-26 12:49:42
T17,2026-05-26T12:46:35,228,98,C,0.4298245614035088,0.5701754385964912,Low Risk,2026-05-26 12:49:42
T18,2026-05-26T12:46:54,81,0,C,0.0,1.0,High Risk,2026-05-26 12:49:42
B9,2026-05-26T12:46:36,213,164,C,0.7699530516431925,0.2300469483568075,Low Risk,2026-05-26 12:49:42
B10,2026-05-26T12:47:38,516,329,C,0.6375968992248062,0.3624031007751938,Low Risk,2026-05-26 12:49:42
W92,2026-05-26T12:45:29,280,182,C,0.65,0.35,Low Risk,2026-05-26 12:49:42
WCB,2026-05-26T12:45:58,143,1,C,0.006993006993006993,0.993006993006993,High Risk,2026-05-26 12:49:42
ACB,2026-05-26T12:46:37,91,5,C,0.054945054945054944,0.945054945054945,High Risk,2026-05-26 12:49:42
CY,2026-05-26T12:46:37,36,0,C,0.0,1.0,High Risk,2026-05-26 12:49:42
AM46,2026-05-26T12:42:50,403,233,C,0.5781637717121588,0.4218362282878412,Low Risk,2026-05-26 12:49:42
A12,2026-05-26T12:48:07,194,138,C,0.711340206185567,0.28865979381443296,Low Risk,2026-05-26 12:49:42
BE45,2026-05-26T12:48:11,363,230,C,0.6336088154269972,0.3663911845730028,Low Risk,2026-05-26 12:49:42
BE39,2026-05-26T12:48:02,705,396,C,0.5617021276595745,0.4382978723404255,Low Risk,2026-05-26 12:49:42
W74,2026-05-26T12:45:03,365,278,C,0.7616438356164383,0.23835616438356166,Low Risk,2026-05-26 12:49:42
Y79M,2026-05-26T12:45:58,453,335,C,0.739514348785872,0.26048565121412803,Low Risk,2026-05-26 12:49:42
CR29,2026-05-26T12:46:18,72,3,C,0.041666666666666664,0.9583333333333334,High Risk,2026-05-26 12:49:42
KLM,2026-05-26T12:46:18,348,159,C,0.45689655172413796,0.5431034482758621,Low Risk,2026-05-26 12:49:42
SE34,2026-05-26T12:48:28,270,165,C,0.6111111111111112,0.38888888888888884,Low Risk,2026-05-26 12:49:42
KB7,2026-05-26T12:36:02,65,63,C,0.9692307692307692,0.03076923076923077,Low Risk,2026-05-26 12:49:42
SE31,2026-05-26T12:48:06,187,93,C,0.49732620320855614,0.5026737967914439,Low Risk,2026-05-26 12:49:42
J56,2026-05-26T12:45:51,15,0,C,0.0,1.0,High Risk,2026-05-26 12:49:42
J57,2026-05-26T12:46:21,363,115,C,0.3168044077134986,0.6831955922865014,Low Risk,2026-05-26 12:49:42
J57L,2026-05-26T12:46:21,13,0,C,0.0,1.0,High Risk,2026-05-26 12:49:42
J33,2026-05-26T12:45:52,136,92,C,0.6764705882352942,0.32352941176470584,Low Risk,2026-05-26 12:49:42
J34,2026-05-26T12:46:16,105,70,C,0.6666666666666666,0.33333333333333337,Low Risk,2026-05-26 12:49:42
BL8,2026-05-26T12:45:57,657,145,C,0.2207001522070015,0.7792998477929984,Medium Risk,2026-05-26 12:49:42
J36,2026-05-26T12:46:25,491,327,C,0.6659877800407332,0.3340122199592668,Low Risk,2026-05-26 12:49:42
J54,2026-05-26T12:46:39,184,10,C,0.05434782608695652,0.9456521739130435,High Risk,2026-05-26 12:49:42
J55,2026-05-26T12:46:55,132,23,C,0.17424242424242425,0.8257575757575757,Medium Risk,2026-05-26 12:49:42
J43,2026-05-26T12:46:47,190,117,C,0.6157894736842106,0.38421052631578945,Low Risk,2026-05-26 12:49:42
J46,2026-05-26T12:46:10,63,4,C,0.06349206349206349,0.9365079365079365,High Risk,2026-05-26 12:49:42
KB1,2026-05-26T12:44:59,239,236,C,0.9874476987447699,0.012552301255230103,Low Risk,2026-05-26 12:49:42
GBM,2026-05-26T12:44:59,677,671,C,0.9911373707533235,0.008862629246676468,Low Risk,2026-05-26 12:49:42
SE14,2026-05-26T12:48:18,187,99,C,0.5294117647058824,0.47058823529411764,Low Risk,2026-05-26 12:49:42
SE50,2026-05-26T12:48:19,591,462,C,0.7817258883248731,0.2182741116751269,Low Risk,2026-05-26 12:49:42
J40,2026-05-26T12:47:44,206,86,C,0.4174757281553398,0.5825242718446602,Low Risk,2026-05-26 12:49:42
JM1,2026-05-26T12:47:19,268,202,C,0.753731343283582,0.24626865671641796,Low Risk,2026-05-26 12:49:42
J32,2026-05-26T12:47:19,199,130,C,0.6532663316582915,0.3467336683417085,Low Risk,2026-05-26 12:49:42
A11,2026-05-26T12:47:36,410,206,C,0.5024390243902439,0.4975609756097561,Low Risk,2026-05-26 12:49:42
TR1,2026-05-26T12:45:55,361,159,C,0.4404432132963989,0.5595567867036011,Low Risk,2026-05-26 12:49:42
JBM,2026-05-26T12:47:49,328,262,C,0.7987804878048781,0.2012195121951219,Low Risk,2026-05-26 12:49:42
TE2,2026-05-26T12:47:26,213,156,C,0.7323943661971831,0.2676056338028169,Low Risk,2026-05-26 12:49:42
CR31,2026-05-26T12:46:40,87,27,C,0.3103448275862069,0.6896551724137931,Low Risk,2026-05-26 12:49:42
J1,2026-05-26T12:48:01,368,248,C,0.6739130434782609,0.32608695652173914,Low Risk,2026-05-26 12:49:42
J2,2026-05-26T12:47:01,200,144,C,0.72,0.28,Low Risk,2026-05-26 12:49:42
J3,2026-05-26T12:47:47,308,240,C,0.7792207792207793,0.22077922077922074,Low Risk,2026-05-26 12:49:42
T37,2026-05-26T12:46:56,1163,768,C,0.6603611349957008,0.3396388650042992,Low Risk,2026-05-26 12:49:42
KB3,2026-05-26T12:47:57,149,14,C,0.09395973154362416,0.9060402684563759,High Risk,2026-05-26 12:49:42
KBM,2026-05-26T12:46:42,239,169,C,0.7071129707112971,0.2928870292887029,Low Risk,2026-05-26 12:49:42
J4,2026-05-26T12:46:36,172,93,C,0.5406976744186046,0.4593023255813954,Low Risk,2026-05-26 12:49:42
TGM1,2026-05-26T12:47:44,388,299,C,0.770618556701031,0.22938144329896903,Low Risk,2026-05-26 12:49:42
TG3,2026-05-26T12:48:09,208,139,C,0.6682692307692307,0.3317307692307693,Low Risk,2026-05-26 12:49:42
TG6,2026-05-26T12:48:10,176,105,C,0.5965909090909091,0.40340909090909094,Low Risk,2026-05-26 12:49:42
TG7,2026-05-26T12:48:10,362,124,C,0.3425414364640884,0.6574585635359116,Low Risk,2026-05-26 12:49:42
CR30,2026-05-26T12:47:51,54,19,C,0.35185185185185186,0.6481481481481481,Low Risk,2026-05-26 12:49:42
RCM,2026-05-26T12:47:51,151,63,C,0.41721854304635764,0.5827814569536424,Low Risk,2026-05-26 12:49:42
EPM,2026-05-26T12:47:52,286,51,C,0.17832167832167833,0.8216783216783217,Medium Risk,2026-05-26 12:49:42
TGM3,2026-05-26T12:48:28,553,422,C,0.7631103074141049,0.2368896925858951,Low Risk,2026-05-26 12:49:42
KB14,2026-05-26T12:47:49,58,0,C,0.0,1.0,High Risk,2026-05-26 12:49:42
J41,2026-05-26T12:46:29,361,252,C,0.6980609418282548,0.30193905817174516,Low Risk,2026-05-26 12:49:42
JBM2,2026-05-26T12:47:26,144,65,C,0.4513888888888889,0.5486111111111112,Low Risk,2026-05-26 12:49:42
J39,2026-05-26T12:46:35,283,182,C,0.6431095406360424,0.3568904593639576,Low Risk,2026-05-26 12:49:42
J52,2026-05-26T12:46:48,626,415,C,0.6629392971246006,0.33706070287539935,Low Risk,2026-05-26 12:49:42
J51,2026-05-26T12:46:05,494,327,C,0.6619433198380567,0.33805668016194335,Low Risk,2026-05-26 12:49:42
J53,2026-05-26T12:46:28,212,134,C,0.6320754716981132,0.3679245283018868,Low Risk,2026-05-26 12:49:42
