carpark_number,update_datetime,total_lots,lots_available,lot_type,availability_rate,parking_pressure,risk_category,retrieved_at
HE12,2026-05-25T12:52:15,105,101,C,0.9619047619047619,0.03809523809523807,Low Risk,2026-05-25 12:54:44
HLM,2026-05-25T12:53:13,583,0,C,0.0,1.0,High Risk,2026-05-25 12:54:44
RHM,2026-05-25T12:52:15,329,120,C,0.364741641337386,0.6352583586626139,Low Risk,2026-05-25 12:54:44
BM29,2026-05-25T12:52:59,96,4,C,0.041666666666666664,0.9583333333333334,High Risk,2026-05-25 12:54:44
Q81,2026-05-25T12:53:03,97,11,C,0.1134020618556701,0.8865979381443299,Medium Risk,2026-05-25 12:54:44
C20,2026-05-25T12:52:51,176,49,C,0.2784090909090909,0.7215909090909092,Medium Risk,2026-05-25 12:54:44
FR3M,2026-05-25T12:53:06,228,107,C,0.4692982456140351,0.5307017543859649,Low Risk,2026-05-25 12:54:44
ACE,2026-05-25T12:52:11,485,395,C,0.8144329896907216,0.18556701030927836,Low Risk,2026-05-25 12:54:44
C6,2026-05-25T12:53:00,332,121,C,0.3644578313253012,0.6355421686746988,Low Risk,2026-05-25 12:54:44
TG2,2026-05-25T12:53:01,273,117,C,0.42857142857142855,0.5714285714285714,Low Risk,2026-05-25 12:54:44
BP1,2026-05-25T12:53:07,577,349,C,0.6048526863084922,0.3951473136915078,Low Risk,2026-05-25 12:54:44
TG1,2026-05-25T12:53:02,133,102,C,0.7669172932330827,0.23308270676691734,Low Risk,2026-05-25 12:54:44
TGM2,2026-05-25T12:53:03,189,110,C,0.582010582010582,0.417989417989418,Low Risk,2026-05-25 12:54:44
TE14,2026-05-25T12:53:14,105,71,C,0.6761904761904762,0.32380952380952377,Low Risk,2026-05-25 12:54:44
BM3,2026-05-25T12:52:57,5,0,C,0.0,1.0,High Risk,2026-05-25 12:54:44
W93,2026-05-25T12:50:23,375,299,C,0.7973333333333333,0.20266666666666666,Low Risk,2026-05-25 12:54:44
HG44,2026-05-25T12:52:41,155,14,C,0.09032258064516129,0.9096774193548387,High Risk,2026-05-25 12:54:44
HG64,2026-05-25T12:51:50,82,14,C,0.17073170731707318,0.8292682926829268,Medium Risk,2026-05-25 12:54:44
PM27,2026-05-25T12:49:53,326,222,C,0.6809815950920245,0.3190184049079755,Low Risk,2026-05-25 12:54:44
PM28,2026-05-25T12:51:51,309,196,C,0.6343042071197411,0.3656957928802589,Low Risk,2026-05-25 12:54:44
TM36,2026-05-25T12:49:31,225,151,C,0.6711111111111111,0.3288888888888889,Low Risk,2026-05-25 12:54:44
TM37,2026-05-25T12:48:45,244,181,C,0.7418032786885246,0.2581967213114754,Low Risk,2026-05-25 12:54:44
T50,2026-05-25T12:51:18,350,233,C,0.6657142857142857,0.3342857142857143,Low Risk,2026-05-25 12:54:44
T51,2026-05-25T12:50:27,346,197,C,0.569364161849711,0.43063583815028905,Low Risk,2026-05-25 12:54:44
TM43,2026-05-25T12:51:23,247,142,C,0.5748987854251012,0.4251012145748988,Low Risk,2026-05-25 12:54:44
T15,2026-05-25T12:51:23,30,1,C,0.03333333333333333,0.9666666666666667,High Risk,2026-05-25 12:54:44
T16,2026-05-25T12:50:59,109,68,C,0.6238532110091743,0.37614678899082565,Low Risk,2026-05-25 12:54:44
T17,2026-05-25T12:51:52,228,119,C,0.5219298245614035,0.47807017543859653,Low Risk,2026-05-25 12:54:44
T18,2026-05-25T12:51:46,81,0,C,0.0,1.0,High Risk,2026-05-25 12:54:44
B9,2026-05-25T12:51:54,213,164,C,0.7699530516431925,0.2300469483568075,Low Risk,2026-05-25 12:54:44
B10,2026-05-25T12:52:14,516,327,C,0.6337209302325582,0.36627906976744184,Low Risk,2026-05-25 12:54:44
W92,2026-05-25T12:50:11,280,193,C,0.6892857142857143,0.3107142857142857,Low Risk,2026-05-25 12:54:44
WCB,2026-05-25T12:51:41,143,7,C,0.04895104895104895,0.951048951048951,High Risk,2026-05-25 12:54:44
ACB,2026-05-25T12:52:20,91,3,C,0.03296703296703297,0.967032967032967,High Risk,2026-05-25 12:54:44
CY,2026-05-25T12:51:55,36,10,C,0.2777777777777778,0.7222222222222222,Medium Risk,2026-05-25 12:54:44
AM46,2026-05-25T12:42:51,403,213,C,0.5285359801488834,0.47146401985111663,Low Risk,2026-05-25 12:54:44
A12,2026-05-25T12:53:03,194,130,C,0.6701030927835051,0.3298969072164949,Low Risk,2026-05-25 12:54:44
BE45,2026-05-25T12:53:02,363,218,C,0.6005509641873278,0.3994490358126722,Low Risk,2026-05-25 12:54:44
BE39,2026-05-25T12:53:08,705,408,C,0.5787234042553191,0.4212765957446809,Low Risk,2026-05-25 12:54:44
