carpark_number,update_datetime,total_lots,lots_available,lot_type,availability_rate,parking_pressure,risk_category,retrieved_at
HE12,2026-05-22T20:39:01,105,101,C,0.9619047619047619,0.03809523809523807,Low Risk,2026-05-22 20:39:47
HLM,2026-05-22T20:38:22,583,302,C,0.5180102915951973,0.4819897084048027,Low Risk,2026-05-22 20:39:47
RHM,2026-05-22T20:39:01,329,177,C,0.5379939209726444,0.4620060790273556,Low Risk,2026-05-22 20:39:47
BM29,2026-05-22T20:38:07,96,44,C,0.4583333333333333,0.5416666666666667,Low Risk,2026-05-22 20:39:47
Q81,2026-05-22T20:38:28,97,60,C,0.6185567010309279,0.38144329896907214,Low Risk,2026-05-22 20:39:47
C20,2026-05-22T20:38:03,176,45,C,0.2556818181818182,0.7443181818181819,Medium Risk,2026-05-22 20:39:47
FR3M,2026-05-22T20:38:24,228,171,C,0.75,0.25,Low Risk,2026-05-22 20:39:47
ACE,2026-05-22T20:39:02,485,455,C,0.9381443298969072,0.061855670103092786,Low Risk,2026-05-22 20:39:47
C6,2026-05-22T20:38:10,332,138,C,0.41566265060240964,0.5843373493975903,Low Risk,2026-05-22 20:39:47
TG2,2026-05-22T20:38:14,273,102,C,0.37362637362637363,0.6263736263736264,Low Risk,2026-05-22 20:39:47
BP1,2026-05-22T20:38:15,577,330,C,0.5719237435008665,0.4280762564991335,Low Risk,2026-05-22 20:39:47
TG1,2026-05-22T20:38:25,133,87,C,0.6541353383458647,0.3458646616541353,Low Risk,2026-05-22 20:39:47
TGM2,2026-05-22T20:38:14,189,121,C,0.6402116402116402,0.35978835978835977,Low Risk,2026-05-22 20:39:47
TE14,2026-05-22T20:38:12,105,59,C,0.5619047619047619,0.4380952380952381,Low Risk,2026-05-22 20:39:47
BM3,2026-05-22T20:38:32,5,0,C,0.0,1.0,High Risk,2026-05-22 20:39:47
W93,2026-05-22T20:36:24,375,240,C,0.64,0.36,Low Risk,2026-05-22 20:39:47
HG44,2026-05-22T20:38:59,155,0,C,0.0,1.0,High Risk,2026-05-22 20:39:47
HG64,2026-05-22T20:38:31,82,22,C,0.2682926829268293,0.7317073170731707,Medium Risk,2026-05-22 20:39:47
PM27,2026-05-22T20:38:57,326,175,C,0.5368098159509203,0.46319018404907975,Low Risk,2026-05-22 20:39:47
PM28,2026-05-22T20:38:56,309,131,C,0.42394822006472493,0.5760517799352751,Low Risk,2026-05-22 20:39:47
TM36,2026-05-22T20:38:21,225,128,C,0.5688888888888889,0.4311111111111111,Low Risk,2026-05-22 20:39:47
TM37,2026-05-22T20:37:41,244,119,C,0.48770491803278687,0.5122950819672132,Low Risk,2026-05-22 20:39:47
T50,2026-05-22T20:38:54,350,165,C,0.4714285714285714,0.5285714285714286,Low Risk,2026-05-22 20:39:47
T51,2026-05-22T20:38:12,346,128,C,0.3699421965317919,0.630057803468208,Low Risk,2026-05-22 20:39:47
TM43,2026-05-22T20:38:43,247,185,C,0.7489878542510121,0.2510121457489879,Low Risk,2026-05-22 20:39:47
T15,2026-05-22T20:38:43,30,4,C,0.13333333333333333,0.8666666666666667,Medium Risk,2026-05-22 20:39:47
T16,2026-05-22T20:38:19,109,37,C,0.3394495412844037,0.6605504587155964,Low Risk,2026-05-22 20:39:47
T17,2026-05-22T20:38:58,228,71,C,0.31140350877192985,0.6885964912280702,Low Risk,2026-05-22 20:39:47
T18,2026-05-22T20:38:50,81,16,C,0.19753086419753085,0.8024691358024691,Medium Risk,2026-05-22 20:39:47
B9,2026-05-22T20:37:37,213,105,C,0.49295774647887325,0.5070422535211268,Low Risk,2026-05-22 20:39:47
B10,2026-05-22T20:38:45,516,223,C,0.4321705426356589,0.5678294573643411,Low Risk,2026-05-22 20:39:47
W92,2026-05-22T20:36:10,280,128,C,0.45714285714285713,0.5428571428571429,Low Risk,2026-05-22 20:39:47
WCB,2026-05-22T20:35:10,143,13,C,0.09090909090909091,0.9090909090909091,High Risk,2026-05-22 20:39:47
ACB,2026-05-22T20:38:36,91,14,C,0.15384615384615385,0.8461538461538461,Medium Risk,2026-05-22 20:39:47
CY,2026-05-22T20:38:36,36,5,C,0.1388888888888889,0.8611111111111112,Medium Risk,2026-05-22 20:39:47
AM46,2026-05-22T20:29:51,403,113,C,0.2803970223325062,0.7196029776674938,Medium Risk,2026-05-22 20:39:47
A12,2026-05-22T20:38:28,194,123,C,0.634020618556701,0.365979381443299,Low Risk,2026-05-22 20:39:47
BE45,2026-05-22T20:38:07,363,131,C,0.3608815426997245,0.6391184573002755,Low Risk,2026-05-22 20:39:47
BE39,2026-05-22T20:38:05,705,272,C,0.38581560283687943,0.6141843971631206,Low Risk,2026-05-22 20:39:47
W74,2026-05-22T20:36:32,365,231,C,0.6328767123287671,0.3671232876712329,Low Risk,2026-05-22 20:39:47
Y79M,2026-05-22T20:30:59,453,263,C,0.5805739514348786,0.41942604856512145,Low Risk,2026-05-22 20:39:47
CR29,2026-05-22T20:38:10,72,0,C,0.0,1.0,High Risk,2026-05-22 20:39:47
KLM,2026-05-22T20:38:10,348,223,C,0.6408045977011494,0.3591954022988506,Low Risk,2026-05-22 20:39:47
SE34,2026-05-22T20:38:26,270,118,C,0.43703703703703706,0.5629629629629629,Low Risk,2026-05-22 20:39:47
KB7,2026-05-22T20:37:56,65,54,C,0.8307692307692308,0.16923076923076918,Low Risk,2026-05-22 20:39:47
SE31,2026-05-22T20:38:06,187,50,C,0.26737967914438504,0.732620320855615,Medium Risk,2026-05-22 20:39:47
J56,2026-05-22T20:38:09,15,0,C,0.0,1.0,High Risk,2026-05-22 20:39:47
J57,2026-05-22T20:38:45,363,178,C,0.4903581267217631,0.5096418732782368,Low Risk,2026-05-22 20:39:47
J57L,2026-05-22T20:38:45,13,5,C,0.38461538461538464,0.6153846153846154,Low Risk,2026-05-22 20:39:47
J33,2026-05-22T20:38:39,136,68,C,0.5,0.5,Low Risk,2026-05-22 20:39:47
J34,2026-05-22T20:36:29,105,46,C,0.4380952380952381,0.5619047619047619,Low Risk,2026-05-22 20:39:47
BL8,2026-05-22T20:38:58,657,209,C,0.3181126331811263,0.6818873668188736,Low Risk,2026-05-22 20:39:47
J36,2026-05-22T20:38:48,491,211,C,0.42973523421588594,0.570264765784114,Low Risk,2026-05-22 20:39:47
J54,2026-05-22T20:38:42,184,29,C,0.15760869565217392,0.842391304347826,Medium Risk,2026-05-22 20:39:47
J55,2026-05-22T20:38:48,132,61,C,0.4621212121212121,0.5378787878787878,Low Risk,2026-05-22 20:39:47
J43,2026-05-22T20:38:53,190,71,C,0.3736842105263158,0.6263157894736842,Low Risk,2026-05-22 20:39:47
J46,2026-05-22T20:38:23,63,7,C,0.1111111111111111,0.8888888888888888,Medium Risk,2026-05-22 20:39:47
KB1,2026-05-22T20:26:26,239,235,C,0.9832635983263598,0.01673640167364021,Low Risk,2026-05-22 20:39:47
GBM,2026-05-22T20:05:22,677,676,C,0.9985228951255539,0.001477104874446078,Low Risk,2026-05-22 20:39:47
SE14,2026-05-22T20:38:17,187,89,C,0.47593582887700536,0.5240641711229946,Low Risk,2026-05-22 20:39:47
SE50,2026-05-22T20:38:18,591,412,C,0.6971235194585449,0.3028764805414551,Low Risk,2026-05-22 20:39:47
J40,2026-05-22T20:39:08,206,73,C,0.35436893203883496,0.645631067961165,Low Risk,2026-05-22 20:39:47
JM1,2026-05-22T20:38:44,268,175,C,0.6529850746268657,0.3470149253731343,Low Risk,2026-05-22 20:39:47
J32,2026-05-22T20:38:44,199,107,C,0.5376884422110553,0.4623115577889447,Low Risk,2026-05-22 20:39:47
A11,2026-05-22T20:39:05,410,241,C,0.5878048780487805,0.41219512195121955,Low Risk,2026-05-22 20:39:47
TR1,2026-05-22T20:35:38,361,142,C,0.39335180055401664,0.6066481994459834,Low Risk,2026-05-22 20:39:47
JBM,2026-05-22T20:39:21,328,256,C,0.7804878048780488,0.2195121951219512,Low Risk,2026-05-22 20:39:47
TE2,2026-05-22T20:39:28,213,159,C,0.7464788732394366,0.2535211267605634,Low Risk,2026-05-22 20:39:47
CR31,2026-05-22T20:39:09,87,15,C,0.1724137931034483,0.8275862068965517,Medium Risk,2026-05-22 20:39:47
J1,2026-05-22T20:39:17,368,213,C,0.5788043478260869,0.4211956521739131,Low Risk,2026-05-22 20:39:47
J2,2026-05-22T20:38:06,200,99,C,0.495,0.505,Low Risk,2026-05-22 20:39:47
J3,2026-05-22T20:37:40,308,188,C,0.6103896103896104,0.38961038961038963,Low Risk,2026-05-22 20:39:47
T37,2026-05-22T20:38:53,1163,592,C,0.5090283748925194,0.4909716251074806,Low Risk,2026-05-22 20:39:47
KB3,2026-05-22T20:38:38,149,54,C,0.3624161073825503,0.6375838926174497,Low Risk,2026-05-22 20:39:47
KBM,2026-05-22T20:38:06,239,161,C,0.6736401673640168,0.3263598326359832,Low Risk,2026-05-22 20:39:47
J4,2026-05-22T20:38:58,172,56,C,0.32558139534883723,0.6744186046511628,Low Risk,2026-05-22 20:39:47
TGM1,2026-05-22T20:39:21,388,230,C,0.5927835051546392,0.4072164948453608,Low Risk,2026-05-22 20:39:47
TG3,2026-05-22T20:38:09,208,135,C,0.6490384615384616,0.35096153846153844,Low Risk,2026-05-22 20:39:47
TG6,2026-05-22T20:38:09,176,99,C,0.5625,0.4375,Low Risk,2026-05-22 20:39:47
TG7,2026-05-22T20:38:10,362,188,C,0.5193370165745856,0.48066298342541436,Low Risk,2026-05-22 20:39:47
CR30,2026-05-22T20:39:22,54,14,C,0.25925925925925924,0.7407407407407407,Medium Risk,2026-05-22 20:39:47
RCM,2026-05-22T20:39:22,151,44,C,0.2913907284768212,0.7086092715231789,Medium Risk,2026-05-22 20:39:47
EPM,2026-05-22T20:39:25,286,128,C,0.44755244755244755,0.5524475524475525,Low Risk,2026-05-22 20:39:47
TGM3,2026-05-22T20:38:25,553,315,C,0.569620253164557,0.430379746835443,Low Risk,2026-05-22 20:39:47
KB14,2026-05-22T20:38:21,58,13,C,0.22413793103448276,0.7758620689655172,Medium Risk,2026-05-22 20:39:47
J41,2026-05-22T20:38:37,361,169,C,0.46814404432132967,0.5318559556786704,Low Risk,2026-05-22 20:39:47
JBM2,2026-05-22T20:39:28,144,40,C,0.2777777777777778,0.7222222222222222,Medium Risk,2026-05-22 20:39:47
J39,2026-05-22T20:38:29,283,138,C,0.4876325088339223,0.5123674911660777,Low Risk,2026-05-22 20:39:47
J52,2026-05-22T20:38:55,626,261,C,0.4169329073482428,0.5830670926517572,Low Risk,2026-05-22 20:39:47
J51,2026-05-22T20:38:54,494,249,C,0.5040485829959515,0.49595141700404854,Low Risk,2026-05-22 20:39:47
J53,2026-05-22T20:38:24,212,85,C,0.4009433962264151,0.5990566037735849,Low Risk,2026-05-22 20:39:47
T19,2026-05-22T20:38:40,881,463,C,0.5255391600454029,0.4744608399545971,Low Risk,2026-05-22 20:39:47
J49,2026-05-22T20:38:03,482,202,C,0.4190871369294606,0.5809128630705394,Low Risk,2026-05-22 20:39:47
J27,2026-05-22T20:38:41,217,27,C,0.12442396313364056,0.8755760368663594,Medium Risk,2026-05-22 20:39:47
TB14,2026-05-22T20:39:13,43,19,C,0.4418604651162791,0.5581395348837209,Low Risk,2026-05-22 20:39:47
U19,2026-05-22T20:38:51,501,215,C,0.4291417165668663,0.5708582834331337,Low Risk,2026-05-22 20:39:47
U6,2026-05-22T20:39:17,95,0,C,0.0,1.0,High Risk,2026-05-22 20:39:47
U45,2026-05-22T20:38:51,159,82,C,0.5157232704402516,0.48427672955974843,Low Risk,2026-05-22 20:39:47
BBM7,2026-05-22T20:36:25,175,153,C,0.8742857142857143,0.12571428571428567,Low Risk,2026-05-22 20:39:47
BE12,2026-05-22T20:38:31,459,106,C,0.23093681917211328,0.7690631808278867,Medium Risk,2026-05-22 20:39:47
HG41,2026-05-22T20:38:25,461,167,C,0.36225596529284165,0.6377440347071583,Low Risk,2026-05-22 20:39:47
HG43,2026-05-22T20:37:42,487,90,C,0.18480492813141683,0.8151950718685832,Medium Risk,2026-05-22 20:39:47
MN1,2026-05-22T20:38:16,257,127,C,0.49416342412451364,0.5058365758754864,Low Risk,2026-05-22 20:39:47
MNRM,2026-05-22T20:29:55,350,223,C,0.6371428571428571,0.3628571428571429,Low Risk,2026-05-22 20:39:47
MN2,2026-05-22T20:38:45,303,113,C,0.37293729372937295,0.6270627062706271,Low Risk,2026-05-22 20:39:47
C7,2026-05-22T20:38:09,30,3,C,0.1,0.9,Medium Risk,2026-05-22 20:39:47
C17,2026-05-22T20:34:24,46,5,C,0.10869565217391304,0.8913043478260869,Medium Risk,2026-05-22 20:39:47
