carpark_number,update_datetime,total_lots,lots_available,lot_type,availability_rate,parking_pressure,risk_category,retrieved_at
HE12,2026-05-22T12:24:21,105,101,C,0.9619047619047619,0.03809523809523807,Low Risk,2026-05-22 12:24:58
HLM,2026-05-22T12:23:44,583,89,C,0.15265866209262435,0.8473413379073756,Medium Risk,2026-05-22 12:24:58
RHM,2026-05-22T12:24:21,329,135,C,0.41033434650455924,0.5896656534954408,Low Risk,2026-05-22 12:24:58
BM29,2026-05-22T12:23:28,96,0,C,0.0,1.0,High Risk,2026-05-22 12:24:58
Q81,2026-05-22T12:23:50,97,16,C,0.16494845360824742,0.8350515463917526,Medium Risk,2026-05-22 12:24:58
C20,2026-05-22T12:23:49,176,25,C,0.14204545454545456,0.8579545454545454,Medium Risk,2026-05-22 12:24:58
FR3M,2026-05-22T12:23:40,228,93,C,0.40789473684210525,0.5921052631578947,Low Risk,2026-05-22 12:24:58
ACE,2026-05-22T12:24:24,485,382,C,0.7876288659793814,0.21237113402061858,Low Risk,2026-05-22 12:24:58
C6,2026-05-22T12:23:31,332,125,C,0.37650602409638556,0.6234939759036144,Low Risk,2026-05-22 12:24:58
TG2,2026-05-22T12:23:36,273,99,C,0.3626373626373626,0.6373626373626373,Low Risk,2026-05-22 12:24:58
BP1,2026-05-22T12:23:36,577,376,C,0.6516464471403813,0.34835355285961866,Low Risk,2026-05-22 12:24:58
TG1,2026-05-22T12:23:46,133,101,C,0.7593984962406015,0.24060150375939848,Low Risk,2026-05-22 12:24:58
TGM2,2026-05-22T12:23:36,189,102,C,0.5396825396825397,0.46031746031746035,Low Risk,2026-05-22 12:24:58
TE14,2026-05-22T12:23:34,105,63,C,0.6,0.4,Low Risk,2026-05-22 12:24:58
BM3,2026-05-22T12:23:23,5,0,C,0.0,1.0,High Risk,2026-05-22 12:24:58
W93,2026-05-22T12:21:23,375,299,C,0.7973333333333333,0.20266666666666666,Low Risk,2026-05-22 12:24:58
HG44,2026-05-22T12:22:52,155,16,C,0.1032258064516129,0.896774193548387,Medium Risk,2026-05-22 12:24:58
HG64,2026-05-22T12:22:34,82,22,C,0.2682926829268293,0.7317073170731707,Medium Risk,2026-05-22 12:24:58
PM27,2026-05-22T12:20:07,326,235,C,0.7208588957055214,0.2791411042944786,Low Risk,2026-05-22 12:24:58
PM28,2026-05-22T12:21:26,309,197,C,0.6375404530744336,0.36245954692556637,Low Risk,2026-05-22 12:24:58
TM36,2026-05-22T12:22:54,225,145,C,0.6444444444444445,0.3555555555555555,Low Risk,2026-05-22 12:24:58
TM37,2026-05-22T12:22:50,244,164,C,0.6721311475409836,0.3278688524590164,Low Risk,2026-05-22 12:24:58
T50,2026-05-22T12:22:50,350,223,C,0.6371428571428571,0.3628571428571429,Low Risk,2026-05-22 12:24:58
T51,2026-05-22T12:22:38,346,190,C,0.5491329479768786,0.4508670520231214,Low Risk,2026-05-22 12:24:58
TM43,2026-05-22T12:22:39,247,162,C,0.6558704453441295,0.3441295546558705,Low Risk,2026-05-22 12:24:58
T15,2026-05-22T12:22:39,30,6,C,0.2,0.8,Medium Risk,2026-05-22 12:24:58
T16,2026-05-22T12:22:19,109,63,C,0.5779816513761468,0.42201834862385323,Low Risk,2026-05-22 12:24:58
T17,2026-05-22T12:22:54,228,102,C,0.4473684210526316,0.5526315789473684,Low Risk,2026-05-22 12:24:58
T18,2026-05-22T12:22:52,81,4,C,0.04938271604938271,0.9506172839506173,High Risk,2026-05-22 12:24:58
B9,2026-05-22T12:19:41,213,179,C,0.8403755868544601,0.15962441314553988,Low Risk,2026-05-22 12:24:58
B10,2026-05-22T12:22:57,516,318,C,0.6162790697674418,0.38372093023255816,Low Risk,2026-05-22 12:24:58
W92,2026-05-22T12:21:09,280,207,C,0.7392857142857143,0.2607142857142857,Low Risk,2026-05-22 12:24:58
