carpark_number,update_datetime,total_lots,lots_available,lot_type,availability_rate,parking_pressure,risk_category,retrieved_at
HE12,2026-05-28T16:13:22,105,101,C,0.9619047619047619,0.03809523809523807,Low Risk,2026-05-28 16:15:22
HLM,2026-05-28T16:14:04,583,98,C,0.1680960548885077,0.8319039451114922,Medium Risk,2026-05-28 16:15:22
RHM,2026-05-28T16:13:23,329,193,C,0.5866261398176292,0.41337386018237077,Low Risk,2026-05-28 16:15:22
BM29,2026-05-28T16:14:00,96,0,C,0.0,1.0,High Risk,2026-05-28 16:15:22
Q81,2026-05-28T16:13:57,97,17,C,0.17525773195876287,0.8247422680412371,Medium Risk,2026-05-28 16:15:22
C20,2026-05-28T16:13:51,176,41,C,0.23295454545454544,0.7670454545454546,Medium Risk,2026-05-28 16:15:22
FR3M,2026-05-28T16:13:56,228,160,C,0.7017543859649122,0.29824561403508776,Low Risk,2026-05-28 16:15:22
ACE,2026-05-28T16:13:07,485,372,C,0.7670103092783506,0.23298969072164943,Low Risk,2026-05-28 16:15:22
C6,2026-05-28T16:13:41,332,179,C,0.5391566265060241,0.46084337349397586,Low Risk,2026-05-28 16:15:22
TG2,2026-05-28T16:13:55,273,157,C,0.575091575091575,0.42490842490842495,Low Risk,2026-05-28 16:15:22
BP1,2026-05-28T16:14:03,577,378,C,0.6551126516464472,0.34488734835355284,Low Risk,2026-05-28 16:15:22
TG1,2026-05-28T16:13:52,133,104,C,0.7819548872180451,0.21804511278195493,Low Risk,2026-05-28 16:15:22
TGM2,2026-05-28T16:13:55,189,139,C,0.7354497354497355,0.26455026455026454,Low Risk,2026-05-28 16:15:22
TE14,2026-05-28T16:13:59,105,73,C,0.6952380952380952,0.3047619047619048,Low Risk,2026-05-28 16:15:22
BM3,2026-05-28T16:13:50,5,0,C,0.0,1.0,High Risk,2026-05-28 16:15:22
W93,2026-05-28T16:11:11,375,300,C,0.8,0.19999999999999996,Low Risk,2026-05-28 16:15:22
HG44,2026-05-28T16:12:53,155,32,C,0.2064516129032258,0.7935483870967742,Medium Risk,2026-05-28 16:15:22
HG64,2026-05-28T16:10:58,82,37,C,0.45121951219512196,0.5487804878048781,Low Risk,2026-05-28 16:15:22
PM27,2026-05-28T16:12:58,326,210,C,0.6441717791411042,0.35582822085889576,Low Risk,2026-05-28 16:15:22
PM28,2026-05-28T16:12:53,309,182,C,0.5889967637540453,0.4110032362459547,Low Risk,2026-05-28 16:15:22
TM36,2026-05-28T16:11:56,225,147,C,0.6533333333333333,0.3466666666666667,Low Risk,2026-05-28 16:15:22
TM37,2026-05-28T16:12:44,244,172,C,0.7049180327868853,0.29508196721311475,Low Risk,2026-05-28 16:15:22
T50,2026-05-28T16:11:52,350,221,C,0.6314285714285715,0.36857142857142855,Low Risk,2026-05-28 16:15:22
T51,2026-05-28T16:12:54,346,185,C,0.5346820809248555,0.4653179190751445,Low Risk,2026-05-28 16:15:22
TM43,2026-05-28T16:11:59,247,161,C,0.6518218623481782,0.3481781376518218,Low Risk,2026-05-28 16:15:22
T15,2026-05-28T16:11:59,30,15,C,0.5,0.5,Low Risk,2026-05-28 16:15:22
T16,2026-05-28T16:10:52,109,61,C,0.5596330275229358,0.44036697247706424,Low Risk,2026-05-28 16:15:22
T17,2026-05-28T16:12:52,228,115,C,0.5043859649122807,0.4956140350877193,Low Risk,2026-05-28 16:15:22
T18,2026-05-28T16:12:35,81,7,C,0.08641975308641975,0.9135802469135803,High Risk,2026-05-28 16:15:22
B9,2026-05-28T16:13:31,213,165,C,0.7746478873239436,0.22535211267605637,Low Risk,2026-05-28 16:15:22
B10,2026-05-28T16:14:15,516,334,C,0.6472868217054264,0.3527131782945736,Low Risk,2026-05-28 16:15:22
W92,2026-05-28T16:10:55,280,177,C,0.6321428571428571,0.3678571428571429,Low Risk,2026-05-28 16:15:22
WCB,2026-05-28T16:09:27,143,2,C,0.013986013986013986,0.986013986013986,High Risk,2026-05-28 16:15:22
ACB,2026-05-28T16:10:50,91,18,C,0.1978021978021978,0.8021978021978022,Medium Risk,2026-05-28 16:15:22
CY,2026-05-28T16:10:50,36,6,C,0.16666666666666666,0.8333333333333334,Medium Risk,2026-05-28 16:15:22
AM46,2026-05-28T16:00:57,403,243,C,0.6029776674937966,0.39702233250620345,Low Risk,2026-05-28 16:15:22
A12,2026-05-28T16:13:52,194,142,C,0.7319587628865979,0.2680412371134021,Low Risk,2026-05-28 16:15:22
BE45,2026-05-28T16:13:39,363,204,C,0.5619834710743802,0.4380165289256198,Low Risk,2026-05-28 16:15:22
BE39,2026-05-28T16:13:52,705,318,C,0.451063829787234,0.548936170212766,Low Risk,2026-05-28 16:15:22
W74,2026-05-28T16:11:16,365,263,C,0.7205479452054795,0.2794520547945205,Low Risk,2026-05-28 16:15:22
Y79M,2026-05-28T16:12:46,453,318,C,0.7019867549668874,0.29801324503311255,Low Risk,2026-05-28 16:15:22
CR29,2026-05-28T16:10:52,72,10,C,0.1388888888888889,0.8611111111111112,Medium Risk,2026-05-28 16:15:22
KLM,2026-05-28T16:10:52,348,189,C,0.5431034482758621,0.4568965517241379,Low Risk,2026-05-28 16:15:22
SE34,2026-05-28T16:13:57,270,157,C,0.5814814814814815,0.4185185185185185,Low Risk,2026-05-28 16:15:22
KB7,2026-05-28T16:09:22,65,63,C,0.9692307692307692,0.03076923076923077,Low Risk,2026-05-28 16:15:22
SE31,2026-05-28T16:14:00,187,105,C,0.5614973262032086,0.4385026737967914,Low Risk,2026-05-28 16:15:22
J56,2026-05-28T16:10:55,15,0,C,0.0,1.0,High Risk,2026-05-28 16:15:22
J57,2026-05-28T16:10:52,363,123,C,0.33884297520661155,0.6611570247933884,Low Risk,2026-05-28 16:15:22
J57L,2026-05-28T16:10:52,13,2,C,0.15384615384615385,0.8461538461538461,Medium Risk,2026-05-28 16:15:22
J33,2026-05-28T16:10:36,136,93,C,0.6838235294117647,0.3161764705882353,Low Risk,2026-05-28 16:15:22
J34,2026-05-28T16:09:41,105,74,C,0.7047619047619048,0.2952380952380952,Low Risk,2026-05-28 16:15:22
BL8,2026-05-28T16:10:58,657,274,C,0.4170471841704718,0.5829528158295282,Low Risk,2026-05-28 16:15:22
J36,2026-05-28T16:10:55,491,304,C,0.6191446028513238,0.3808553971486762,Low Risk,2026-05-28 16:15:22
J54,2026-05-28T16:10:41,184,78,C,0.42391304347826086,0.5760869565217391,Low Risk,2026-05-28 16:15:22
J55,2026-05-28T16:10:35,132,84,C,0.6363636363636364,0.36363636363636365,Low Risk,2026-05-28 16:15:22
J43,2026-05-28T16:09:33,190,127,C,0.6684210526315789,0.3315789473684211,Low Risk,2026-05-28 16:15:22
J46,2026-05-28T16:10:22,63,8,C,0.12698412698412698,0.873015873015873,Medium Risk,2026-05-28 16:15:22
KB1,2026-05-28T16:01:39,239,238,C,0.99581589958159,0.004184100418409997,Low Risk,2026-05-28 16:15:22
GBM,2026-05-28T16:08:39,677,674,C,0.9955686853766618,0.004431314623338234,Low Risk,2026-05-28 16:15:22
SE14,2026-05-28T16:13:41,187,107,C,0.5721925133689839,0.4278074866310161,Low Risk,2026-05-28 16:15:22
SE50,2026-05-28T16:13:41,591,442,C,0.7478849407783418,0.2521150592216582,Low Risk,2026-05-28 16:15:22
J40,2026-05-28T16:14:08,206,122,C,0.5922330097087378,0.4077669902912622,Low Risk,2026-05-28 16:15:22
JM1,2026-05-28T16:13:54,268,196,C,0.7313432835820896,0.26865671641791045,Low Risk,2026-05-28 16:15:22
J32,2026-05-28T16:13:54,199,127,C,0.6381909547738693,0.36180904522613067,Low Risk,2026-05-28 16:15:22
A11,2026-05-28T16:13:05,410,272,C,0.6634146341463415,0.3365853658536585,Low Risk,2026-05-28 16:15:22
TR1,2026-05-28T16:07:47,361,184,C,0.5096952908587258,0.4903047091412742,Low Risk,2026-05-28 16:15:22
JBM,2026-05-28T16:13:13,328,266,C,0.8109756097560976,0.18902439024390238,Low Risk,2026-05-28 16:15:22
TE2,2026-05-28T16:13:07,213,161,C,0.755868544600939,0.244131455399061,Low Risk,2026-05-28 16:15:22
CR31,2026-05-28T16:13:49,87,20,C,0.22988505747126436,0.7701149425287357,Medium Risk,2026-05-28 16:15:22
J1,2026-05-28T16:13:58,368,225,C,0.6114130434782609,0.38858695652173914,Low Risk,2026-05-28 16:15:22
J2,2026-05-28T16:13:50,200,137,C,0.685,0.31499999999999995,Low Risk,2026-05-28 16:15:22
J3,2026-05-28T16:13:03,308,212,C,0.6883116883116883,0.3116883116883117,Low Risk,2026-05-28 16:15:22
T37,2026-05-28T16:12:58,1163,776,C,0.6672398968185727,0.33276010318142735,Low Risk,2026-05-28 16:15:22
KB3,2026-05-28T16:13:59,149,64,C,0.42953020134228187,0.5704697986577181,Low Risk,2026-05-28 16:15:22
KBM,2026-05-28T16:13:44,239,176,C,0.7364016736401674,0.2635983263598326,Low Risk,2026-05-28 16:15:22
J4,2026-05-28T16:13:59,172,76,C,0.4418604651162791,0.5581395348837209,Low Risk,2026-05-28 16:15:22
TGM1,2026-05-28T16:13:16,388,295,C,0.7603092783505154,0.23969072164948457,Low Risk,2026-05-28 16:15:22
