carpark_number,update_datetime,total_lots,lots_available,lot_type,availability_rate,parking_pressure,risk_category,retrieved_at
HE12,2026-05-27T01:43:51,105,101,C,0.9619047619047619,0.03809523809523807,Low Risk,2026-05-27 01:45:07
HLM,2026-05-27T01:43:44,583,498,C,0.8542024013722127,0.1457975986277873,Low Risk,2026-05-27 01:45:07
RHM,2026-05-27T01:43:51,329,143,C,0.43465045592705165,0.5653495440729484,Low Risk,2026-05-27 01:45:07
BM29,2026-05-27T01:43:50,96,87,C,0.90625,0.09375,Low Risk,2026-05-27 01:45:07
Q81,2026-05-27T01:43:47,97,86,C,0.8865979381443299,0.11340206185567014,Low Risk,2026-05-27 01:45:07
C20,2026-05-27T01:43:24,176,150,C,0.8522727272727273,0.1477272727272727,Low Risk,2026-05-27 01:45:07
FR3M,2026-05-27T01:43:49,228,166,C,0.7280701754385965,0.27192982456140347,Low Risk,2026-05-27 01:45:07
ACE,2026-05-27T01:43:39,485,451,C,0.9298969072164949,0.07010309278350513,Low Risk,2026-05-27 01:45:07
C6,2026-05-27T01:43:46,332,130,C,0.39156626506024095,0.608433734939759,Low Risk,2026-05-27 01:45:07
TG2,2026-05-27T01:43:43,273,98,C,0.358974358974359,0.641025641025641,Low Risk,2026-05-27 01:45:07
BP1,2026-05-27T01:43:36,577,275,C,0.47660311958405543,0.5233968804159446,Low Risk,2026-05-27 01:45:07
TG1,2026-05-27T01:43:40,133,61,C,0.45864661654135336,0.5413533834586466,Low Risk,2026-05-27 01:45:07
TGM2,2026-05-27T01:43:43,189,113,C,0.5978835978835979,0.4021164021164021,Low Risk,2026-05-27 01:45:07
TE14,2026-05-27T01:43:42,105,36,C,0.34285714285714286,0.6571428571428571,Low Risk,2026-05-27 01:45:07
BM3,2026-05-27T01:43:25,5,0,C,0.0,1.0,High Risk,2026-05-27 01:45:07
W93,2026-05-27T01:41:18,375,221,C,0.5893333333333334,0.4106666666666666,Low Risk,2026-05-27 01:45:07
HG44,2026-05-27T01:43:48,155,55,C,0.3548387096774194,0.6451612903225806,Low Risk,2026-05-27 01:45:07
HG64,2026-05-27T01:43:41,82,60,C,0.7317073170731707,0.2682926829268293,Low Risk,2026-05-27 01:45:07
PM27,2026-05-27T01:41:13,326,123,C,0.3773006134969325,0.6226993865030674,Low Risk,2026-05-27 01:45:07
PM28,2026-05-27T01:41:27,309,106,C,0.343042071197411,0.6569579288025891,Low Risk,2026-05-27 01:45:07
TM36,2026-05-27T01:44:11,225,68,C,0.3022222222222222,0.6977777777777778,Low Risk,2026-05-27 01:45:07
TM37,2026-05-27T01:38:09,244,73,C,0.29918032786885246,0.7008196721311475,Medium Risk,2026-05-27 01:45:07
T50,2026-05-27T01:43:31,350,105,C,0.3,0.7,Low Risk,2026-05-27 01:45:07
T51,2026-05-27T01:40:22,346,57,C,0.16473988439306358,0.8352601156069364,Medium Risk,2026-05-27 01:45:07
