carpark_number,update_datetime,total_lots,lots_available,lot_type,availability_rate,parking_pressure,risk_category,retrieved_at
HE12,2026-05-23T23:43:09,105,101,C,0.9619047619047619,0.03809523809523807,Low Risk,2026-05-23 23:44:22
HLM,2026-05-23T23:42:37,583,495,C,0.8490566037735849,0.15094339622641506,Low Risk,2026-05-23 23:44:22
RHM,2026-05-23T23:43:09,329,145,C,0.44072948328267475,0.5592705167173253,Low Risk,2026-05-23 23:44:22
BM29,2026-05-23T23:42:22,96,83,C,0.8645833333333334,0.13541666666666663,Low Risk,2026-05-23 23:44:22
Q81,2026-05-23T23:42:24,97,87,C,0.8969072164948454,0.1030927835051546,Low Risk,2026-05-23 23:44:22
C20,2026-05-23T23:42:13,176,147,C,0.8352272727272727,0.1647727272727273,Low Risk,2026-05-23 23:44:22
FR3M,2026-05-23T23:42:16,228,170,C,0.7456140350877193,0.2543859649122807,Low Risk,2026-05-23 23:44:22
ACE,2026-05-23T23:43:01,485,456,C,0.9402061855670103,0.0597938144329897,Low Risk,2026-05-23 23:44:22
C6,2026-05-23T23:42:27,332,134,C,0.4036144578313253,0.5963855421686747,Low Risk,2026-05-23 23:44:22
TG2,2026-05-23T23:42:36,273,96,C,0.3516483516483517,0.6483516483516483,Low Risk,2026-05-23 23:44:22
BP1,2026-05-23T23:42:34,577,297,C,0.5147313691507799,0.4852686308492201,Low Risk,2026-05-23 23:44:22
TG1,2026-05-23T23:42:23,133,72,C,0.5413533834586466,0.4586466165413534,Low Risk,2026-05-23 23:44:22
TGM2,2026-05-23T23:42:36,189,124,C,0.656084656084656,0.34391534391534395,Low Risk,2026-05-23 23:44:22
TE14,2026-05-23T23:42:41,105,43,C,0.4095238095238095,0.5904761904761905,Low Risk,2026-05-23 23:44:22
BM3,2026-05-23T23:42:26,5,0,C,0.0,1.0,High Risk,2026-05-23 23:44:22
W93,2026-05-23T23:40:15,375,238,C,0.6346666666666667,0.3653333333333333,Low Risk,2026-05-23 23:44:22
HG44,2026-05-23T23:42:09,155,25,C,0.16129032258064516,0.8387096774193549,Medium Risk,2026-05-23 23:44:22
HG64,2026-05-23T23:42:18,82,38,C,0.4634146341463415,0.5365853658536586,Low Risk,2026-05-23 23:44:22
PM27,2026-05-23T23:40:39,326,134,C,0.4110429447852761,0.5889570552147239,Low Risk,2026-05-23 23:44:22
PM28,2026-05-23T23:40:26,309,94,C,0.3042071197411003,0.6957928802588997,Low Risk,2026-05-23 23:44:22
TM36,2026-05-23T23:38:53,225,77,C,0.3422222222222222,0.6577777777777778,Low Risk,2026-05-23 23:44:22
TM37,2026-05-23T23:40:47,244,83,C,0.3401639344262295,0.6598360655737705,Low Risk,2026-05-23 23:44:22
T50,2026-05-23T23:41:52,350,114,C,0.32571428571428573,0.6742857142857143,Low Risk,2026-05-23 23:44:22
T51,2026-05-23T23:41:46,346,78,C,0.2254335260115607,0.7745664739884393,Medium Risk,2026-05-23 23:44:22
TM43,2026-05-23T23:41:59,247,186,C,0.7530364372469636,0.24696356275303644,Low Risk,2026-05-23 23:44:22
T15,2026-05-23T23:41:59,30,23,C,0.7666666666666667,0.23333333333333328,Low Risk,2026-05-23 23:44:22
T16,2026-05-23T23:33:31,109,45,C,0.41284403669724773,0.5871559633027523,Low Risk,2026-05-23 23:44:22
T17,2026-05-23T23:41:55,228,115,C,0.5043859649122807,0.4956140350877193,Low Risk,2026-05-23 23:44:22
T18,2026-05-23T23:41:52,81,47,C,0.5802469135802469,0.41975308641975306,Low Risk,2026-05-23 23:44:22
B9,2026-05-23T23:42:23,213,143,C,0.6713615023474179,0.32863849765258213,Low Risk,2026-05-23 23:44:22
B10,2026-05-23T23:42:38,516,226,C,0.437984496124031,0.562015503875969,Low Risk,2026-05-23 23:44:22
W92,2026-05-23T23:40:35,280,107,C,0.3821428571428571,0.6178571428571429,Low Risk,2026-05-23 23:44:22
WCB,2026-05-23T23:37:42,143,81,C,0.5664335664335665,0.43356643356643354,Low Risk,2026-05-23 23:44:22
ACB,2026-05-23T23:40:52,91,58,C,0.6373626373626373,0.3626373626373627,Low Risk,2026-05-23 23:44:22
CY,2026-05-23T23:40:52,36,13,C,0.3611111111111111,0.6388888888888888,Low Risk,2026-05-23 23:44:22
AM46,2026-05-23T23:31:52,403,29,C,0.07196029776674938,0.9280397022332506,High Risk,2026-05-23 23:44:22
A12,2026-05-23T23:42:35,194,101,C,0.520618556701031,0.47938144329896903,Low Risk,2026-05-23 23:44:22
BE45,2026-05-23T23:42:34,363,62,C,0.17079889807162535,0.8292011019283747,Medium Risk,2026-05-23 23:44:22
BE39,2026-05-23T23:42:31,705,157,C,0.2226950354609929,0.7773049645390071,Medium Risk,2026-05-23 23:44:22
W74,2026-05-23T23:40:14,365,188,C,0.5150684931506849,0.4849315068493151,Low Risk,2026-05-23 23:44:22
Y79M,2026-05-23T23:40:45,453,217,C,0.47902869757174393,0.5209713024282561,Low Risk,2026-05-23 23:44:22
CR29,2026-05-23T23:42:51,72,4,C,0.05555555555555555,0.9444444444444444,High Risk,2026-05-23 23:44:22
KLM,2026-05-23T23:42:51,348,265,C,0.7614942528735632,0.2385057471264368,Low Risk,2026-05-23 23:44:22
SE34,2026-05-23T23:42:32,270,86,C,0.31851851851851853,0.6814814814814815,Low Risk,2026-05-23 23:44:22
KB7,2026-05-23T23:33:33,65,63,C,0.9692307692307692,0.03076923076923077,Low Risk,2026-05-23 23:44:22
SE31,2026-05-23T23:42:34,187,17,C,0.09090909090909091,0.9090909090909091,High Risk,2026-05-23 23:44:22
J56,2026-05-23T23:41:03,15,11,C,0.7333333333333333,0.2666666666666667,Low Risk,2026-05-23 23:44:22
J57,2026-05-23T23:42:20,363,341,C,0.9393939393939394,0.06060606060606055,Low Risk,2026-05-23 23:44:22
J57L,2026-05-23T23:42:20,13,12,C,0.9230769230769231,0.07692307692307687,Low Risk,2026-05-23 23:44:22
J33,2026-05-23T23:42:15,136,65,C,0.47794117647058826,0.5220588235294117,Low Risk,2026-05-23 23:44:22
J34,2026-05-23T23:42:38,105,38,C,0.3619047619047619,0.638095238095238,Low Risk,2026-05-23 23:44:22
BL8,2026-05-23T23:42:27,657,319,C,0.4855403348554033,0.5144596651445967,Low Risk,2026-05-23 23:44:22
J36,2026-05-23T23:42:27,491,157,C,0.319755600814664,0.680244399185336,Low Risk,2026-05-23 23:44:22
J54,2026-05-23T23:42:59,184,109,C,0.592391304347826,0.40760869565217395,Low Risk,2026-05-23 23:44:22
J55,2026-05-23T23:42:06,132,96,C,0.7272727272727273,0.2727272727272727,Low Risk,2026-05-23 23:44:22
J43,2026-05-23T23:42:30,190,67,C,0.3526315789473684,0.6473684210526316,Low Risk,2026-05-23 23:44:22
J46,2026-05-23T23:42:07,63,35,C,0.5555555555555556,0.4444444444444444,Low Risk,2026-05-23 23:44:22
KB1,2026-05-23T23:41:14,239,238,C,0.99581589958159,0.004184100418409997,Low Risk,2026-05-23 23:44:22
GBM,2026-05-23T23:41:14,677,676,C,0.9985228951255539,0.001477104874446078,Low Risk,2026-05-23 23:44:22
SE14,2026-05-23T23:42:40,187,76,C,0.40641711229946526,0.5935828877005347,Low Risk,2026-05-23 23:44:22
SE50,2026-05-23T23:42:40,591,391,C,0.6615905245346869,0.3384094754653131,Low Risk,2026-05-23 23:44:22
J40,2026-05-23T23:43:06,206,43,C,0.2087378640776699,0.7912621359223301,Medium Risk,2026-05-23 23:44:22
JM1,2026-05-23T23:38:56,268,148,C,0.5522388059701493,0.4477611940298507,Low Risk,2026-05-23 23:44:22
J32,2026-05-23T23:38:56,199,91,C,0.457286432160804,0.542713567839196,Low Risk,2026-05-23 23:44:22
A11,2026-05-23T23:43:15,410,252,C,0.6146341463414634,0.3853658536585366,Low Risk,2026-05-23 23:44:22
TR1,2026-05-23T23:36:49,361,112,C,0.31024930747922436,0.6897506925207757,Low Risk,2026-05-23 23:44:22
JBM,2026-05-23T23:43:14,328,224,C,0.6829268292682927,0.31707317073170727,Low Risk,2026-05-23 23:44:22
