carpark_number,update_datetime,total_lots,lots_available,lot_type,availability_rate,parking_pressure,risk_category,retrieved_at
HE12,2026-05-27T13:02:01,105,101,C,0.9619047619047619,0.03809523809523807,Low Risk,2026-05-27 13:04:30
HLM,2026-05-27T13:02:32,583,163,C,0.27958833619210977,0.7204116638078902,Medium Risk,2026-05-27 13:04:30
RHM,2026-05-27T13:02:02,329,105,C,0.3191489361702128,0.6808510638297872,Low Risk,2026-05-27 13:04:30
BM29,2026-05-27T13:02:11,96,7,C,0.07291666666666667,0.9270833333333334,High Risk,2026-05-27 13:04:30
Q81,2026-05-27T13:02:32,97,23,C,0.23711340206185566,0.7628865979381443,Medium Risk,2026-05-27 13:04:30
C20,2026-05-27T13:02:11,176,33,C,0.1875,0.8125,Medium Risk,2026-05-27 13:04:30
FR3M,2026-05-27T13:02:37,228,149,C,0.6535087719298246,0.3464912280701754,Low Risk,2026-05-27 13:04:30
ACE,2026-05-27T13:02:09,485,448,C,0.9237113402061856,0.07628865979381438,Low Risk,2026-05-27 13:04:30
C6,2026-05-27T13:02:19,332,84,C,0.25301204819277107,0.7469879518072289,Medium Risk,2026-05-27 13:04:30
TG2,2026-05-27T13:02:10,273,114,C,0.4175824175824176,0.5824175824175823,Low Risk,2026-05-27 13:04:30
BP1,2026-05-27T13:02:35,577,330,C,0.5719237435008665,0.4280762564991335,Low Risk,2026-05-27 13:04:30
TG1,2026-05-27T13:02:22,133,89,C,0.6691729323308271,0.3308270676691729,Low Risk,2026-05-27 13:04:30
TGM2,2026-05-27T13:02:11,189,124,C,0.656084656084656,0.34391534391534395,Low Risk,2026-05-27 13:04:30
TE14,2026-05-27T13:02:29,105,48,C,0.45714285714285713,0.5428571428571429,Low Risk,2026-05-27 13:04:30
BM3,2026-05-27T13:02:16,5,0,C,0.0,1.0,High Risk,2026-05-27 13:04:30
W93,2026-05-27T13:00:02,375,259,C,0.6906666666666667,0.30933333333333335,Low Risk,2026-05-27 13:04:30
HG44,2026-05-27T13:02:14,155,0,C,0.0,1.0,High Risk,2026-05-27 13:04:30
HG64,2026-05-27T13:00:55,82,11,C,0.13414634146341464,0.8658536585365854,Medium Risk,2026-05-27 13:04:30
