carpark_number,update_datetime,total_lots,lots_available,lot_type,availability_rate,parking_pressure,risk_category,retrieved_at
HE12,2026-05-24T15:32:28,105,101,C,0.9619047619047619,0.03809523809523807,Low Risk,2026-05-24 15:34:18
HLM,2026-05-24T15:33:13,583,335,C,0.5746140651801029,0.42538593481989706,Low Risk,2026-05-24 15:34:18
RHM,2026-05-24T15:32:28,329,166,C,0.5045592705167173,0.49544072948328266,Low Risk,2026-05-24 15:34:18
BM29,2026-05-24T15:33:09,96,0,C,0.0,1.0,High Risk,2026-05-24 15:34:18
Q81,2026-05-24T15:33:15,97,48,C,0.4948453608247423,0.5051546391752577,Low Risk,2026-05-24 15:34:18
C20,2026-05-24T15:33:15,176,21,C,0.11931818181818182,0.8806818181818181,Medium Risk,2026-05-24 15:34:18
FR3M,2026-05-24T15:33:30,228,165,C,0.7236842105263158,0.2763157894736842,Low Risk,2026-05-24 15:34:18
ACE,2026-05-24T15:32:45,485,444,C,0.9154639175257732,0.08453608247422684,Low Risk,2026-05-24 15:34:18
C6,2026-05-24T15:33:07,332,113,C,0.34036144578313254,0.6596385542168675,Low Risk,2026-05-24 15:34:18
TG2,2026-05-24T15:32:20,273,124,C,0.4542124542124542,0.5457875457875458,Low Risk,2026-05-24 15:34:18
BP1,2026-05-24T15:33:21,577,329,C,0.5701906412478336,0.4298093587521664,Low Risk,2026-05-24 15:34:18
TG1,2026-05-24T15:32:10,133,73,C,0.5488721804511278,0.45112781954887216,Low Risk,2026-05-24 15:34:18
TGM2,2026-05-24T15:32:20,189,127,C,0.671957671957672,0.328042328042328,Low Risk,2026-05-24 15:34:18
TE14,2026-05-24T15:32:19,105,48,C,0.45714285714285713,0.5428571428571429,Low Risk,2026-05-24 15:34:18
BM3,2026-05-24T15:33:19,5,0,C,0.0,1.0,High Risk,2026-05-24 15:34:18
W93,2026-05-24T15:30:26,375,246,C,0.656,0.344,Low Risk,2026-05-24 15:34:18
HG44,2026-05-24T15:32:46,155,23,C,0.14838709677419354,0.8516129032258064,Medium Risk,2026-05-24 15:34:18
HG64,2026-05-24T15:32:33,82,37,C,0.45121951219512196,0.5487804878048781,Low Risk,2026-05-24 15:34:18
PM27,2026-05-24T15:30:51,326,168,C,0.5153374233128835,0.48466257668711654,Low Risk,2026-05-24 15:34:18
PM28,2026-05-24T15:30:46,309,114,C,0.36893203883495146,0.6310679611650485,Low Risk,2026-05-24 15:34:18
TM36,2026-05-24T15:30:40,225,121,C,0.5377777777777778,0.4622222222222222,Low Risk,2026-05-24 15:34:18
TM37,2026-05-24T15:29:36,244,122,C,0.5,0.5,Low Risk,2026-05-24 15:34:18
T50,2026-05-24T15:28:58,350,151,C,0.43142857142857144,0.5685714285714285,Low Risk,2026-05-24 15:34:18
T51,2026-05-24T15:30:58,346,115,C,0.33236994219653176,0.6676300578034682,Low Risk,2026-05-24 15:34:18
TM43,2026-05-24T15:31:51,247,133,C,0.5384615384615384,0.46153846153846156,Low Risk,2026-05-24 15:34:18
T15,2026-05-24T15:31:51,30,7,C,0.23333333333333334,0.7666666666666666,Medium Risk,2026-05-24 15:34:18
T16,2026-05-24T15:29:54,109,43,C,0.3944954128440367,0.6055045871559632,Low Risk,2026-05-24 15:34:18
T17,2026-05-24T15:31:54,228,64,C,0.2807017543859649,0.7192982456140351,Medium Risk,2026-05-24 15:34:18
T18,2026-05-24T15:31:59,81,3,C,0.037037037037037035,0.962962962962963,High Risk,2026-05-24 15:34:18
B9,2026-05-24T15:32:38,213,138,C,0.647887323943662,0.352112676056338,Low Risk,2026-05-24 15:34:18
B10,2026-05-24T15:32:53,516,207,C,0.4011627906976744,0.5988372093023255,Low Risk,2026-05-24 15:34:18
W92,2026-05-24T15:30:25,280,142,C,0.5071428571428571,0.4928571428571429,Low Risk,2026-05-24 15:34:18
WCB,2026-05-24T15:30:46,143,12,C,0.08391608391608392,0.916083916083916,High Risk,2026-05-24 15:34:18
ACB,2026-05-24T15:31:23,91,0,C,0.0,1.0,High Risk,2026-05-24 15:34:18
CY,2026-05-24T15:31:23,36,2,C,0.05555555555555555,0.9444444444444444,High Risk,2026-05-24 15:34:18
AM46,2026-05-24T15:24:51,403,127,C,0.315136476426799,0.684863523573201,Low Risk,2026-05-24 15:34:18
A12,2026-05-24T15:33:17,194,105,C,0.5412371134020618,0.4587628865979382,Low Risk,2026-05-24 15:34:18
BE45,2026-05-24T15:33:07,363,126,C,0.34710743801652894,0.6528925619834711,Low Risk,2026-05-24 15:34:18
BE39,2026-05-24T15:33:17,705,249,C,0.35319148936170214,0.6468085106382979,Low Risk,2026-05-24 15:34:18
W74,2026-05-24T15:30:28,365,229,C,0.6273972602739726,0.3726027397260274,Low Risk,2026-05-24 15:34:18
Y79M,2026-05-24T15:31:59,453,259,C,0.5717439293598234,0.42825607064017657,Low Risk,2026-05-24 15:34:18
CR29,2026-05-24T15:31:52,72,4,C,0.05555555555555555,0.9444444444444444,High Risk,2026-05-24 15:34:18
KLM,2026-05-24T15:26:58,348,224,C,0.6436781609195402,0.3563218390804598,Low Risk,2026-05-24 15:34:18
SE34,2026-05-24T15:32:26,270,110,C,0.4074074074074074,0.5925925925925926,Low Risk,2026-05-24 15:34:18
KB7,2026-05-24T15:23:28,65,63,C,0.9692307692307692,0.03076923076923077,Low Risk,2026-05-24 15:34:18
SE31,2026-05-24T15:32:20,187,45,C,0.24064171122994651,0.7593582887700535,Medium Risk,2026-05-24 15:34:18
J56,2026-05-24T15:31:16,15,1,C,0.06666666666666667,0.9333333333333333,High Risk,2026-05-24 15:34:18
J57,2026-05-24T15:31:49,363,133,C,0.36639118457300274,0.6336088154269972,Low Risk,2026-05-24 15:34:18
J57L,2026-05-24T15:31:49,13,8,C,0.6153846153846154,0.3846153846153846,Low Risk,2026-05-24 15:34:18
J33,2026-05-24T15:31:00,136,72,C,0.5294117647058824,0.47058823529411764,Low Risk,2026-05-24 15:34:18
J34,2026-05-24T15:30:17,105,51,C,0.4857142857142857,0.5142857142857142,Low Risk,2026-05-24 15:34:18
BL8,2026-05-24T15:31:59,657,196,C,0.2983257229832572,0.7016742770167428,Medium Risk,2026-05-24 15:34:18
J36,2026-05-24T15:31:47,491,184,C,0.37474541751527496,0.6252545824847251,Low Risk,2026-05-24 15:34:18
J54,2026-05-24T15:31:29,184,69,C,0.375,0.625,Low Risk,2026-05-24 15:34:18
J55,2026-05-24T15:31:42,132,66,C,0.5,0.5,Low Risk,2026-05-24 15:34:18
J43,2026-05-24T15:31:58,190,78,C,0.4105263157894737,0.5894736842105264,Low Risk,2026-05-24 15:34:18
J46,2026-05-24T15:31:23,63,12,C,0.19047619047619047,0.8095238095238095,Medium Risk,2026-05-24 15:34:18
KB1,2026-05-24T15:26:10,239,238,C,0.99581589958159,0.004184100418409997,Low Risk,2026-05-24 15:34:18
GBM,2026-05-24T15:05:03,677,676,C,0.9985228951255539,0.001477104874446078,Low Risk,2026-05-24 15:34:18
SE14,2026-05-24T15:33:12,187,78,C,0.41711229946524064,0.5828877005347594,Low Risk,2026-05-24 15:34:18
SE50,2026-05-24T15:32:13,591,376,C,0.6362098138747885,0.3637901861252115,Low Risk,2026-05-24 15:34:18
J40,2026-05-24T15:32:52,206,56,C,0.27184466019417475,0.7281553398058253,Medium Risk,2026-05-24 15:34:18
JM1,2026-05-24T15:32:43,268,178,C,0.664179104477612,0.33582089552238803,Low Risk,2026-05-24 15:34:18
J32,2026-05-24T15:32:43,199,96,C,0.4824120603015075,0.5175879396984925,Low Risk,2026-05-24 15:34:18
A11,2026-05-24T15:32:35,410,247,C,0.6024390243902439,0.3975609756097561,Low Risk,2026-05-24 15:34:18
TR1,2026-05-24T15:30:52,361,148,C,0.4099722991689751,0.5900277008310248,Low Risk,2026-05-24 15:34:18
JBM,2026-05-24T15:32:29,328,231,C,0.7042682926829268,0.2957317073170732,Low Risk,2026-05-24 15:34:18
TE2,2026-05-24T15:32:30,213,146,C,0.6854460093896714,0.3145539906103286,Low Risk,2026-05-24 15:34:18
