carpark_number,update_datetime,total_lots,lots_available,lot_type,availability_rate,parking_pressure,risk_category,retrieved_at
HE12,2026-05-23T19:40:34,105,101,C,0.9619047619047619,0.03809523809523807,Low Risk,2026-05-23 19:42:21
HLM,2026-05-23T19:41:03,583,247,C,0.4236706689536878,0.5763293310463122,Low Risk,2026-05-23 19:42:21
RHM,2026-05-23T19:40:34,329,164,C,0.49848024316109424,0.5015197568389058,Low Risk,2026-05-23 19:42:21
BM29,2026-05-23T19:41:18,96,11,C,0.11458333333333333,0.8854166666666666,Medium Risk,2026-05-23 19:42:21
Q81,2026-05-23T19:41:20,97,45,C,0.4639175257731959,0.5360824742268041,Low Risk,2026-05-23 19:42:21
C20,2026-05-23T19:41:09,176,34,C,0.19318181818181818,0.8068181818181819,Medium Risk,2026-05-23 19:42:21
FR3M,2026-05-23T19:41:12,228,183,C,0.8026315789473685,0.19736842105263153,Low Risk,2026-05-23 19:42:21
ACE,2026-05-23T19:40:28,485,462,C,0.9525773195876288,0.04742268041237119,Low Risk,2026-05-23 19:42:21
C6,2026-05-23T19:40:53,332,123,C,0.3704819277108434,0.6295180722891567,Low Risk,2026-05-23 19:42:21
TG2,2026-05-23T19:41:02,273,126,C,0.46153846153846156,0.5384615384615384,Low Risk,2026-05-23 19:42:21
BP1,2026-05-23T19:41:00,577,337,C,0.584055459272097,0.415944540727903,Low Risk,2026-05-23 19:42:21
TG1,2026-05-23T19:41:19,133,95,C,0.7142857142857143,0.2857142857142857,Low Risk,2026-05-23 19:42:21
TGM2,2026-05-23T19:41:02,189,136,C,0.7195767195767195,0.28042328042328046,Low Risk,2026-05-23 19:42:21
TE14,2026-05-23T19:41:07,105,45,C,0.42857142857142855,0.5714285714285714,Low Risk,2026-05-23 19:42:21
BM3,2026-05-23T19:40:51,5,0,C,0.0,1.0,High Risk,2026-05-23 19:42:21
W93,2026-05-23T19:38:14,375,269,C,0.7173333333333334,0.2826666666666666,Low Risk,2026-05-23 19:42:21
HG44,2026-05-23T19:40:10,155,10,C,0.06451612903225806,0.935483870967742,High Risk,2026-05-23 19:42:21
HG64,2026-05-23T19:40:54,82,22,C,0.2682926829268293,0.7317073170731707,Medium Risk,2026-05-23 19:42:21
PM27,2026-05-23T19:40:10,326,157,C,0.4815950920245399,0.5184049079754601,Low Risk,2026-05-23 19:42:21
PM28,2026-05-23T19:40:57,309,125,C,0.4045307443365696,0.5954692556634305,Low Risk,2026-05-23 19:42:21
TM36,2026-05-23T19:32:51,225,127,C,0.5644444444444444,0.4355555555555556,Low Risk,2026-05-23 19:42:21
TM37,2026-05-23T19:35:51,244,128,C,0.5245901639344263,0.47540983606557374,Low Risk,2026-05-23 19:42:21
T50,2026-05-23T19:39:26,350,147,C,0.42,0.5800000000000001,Low Risk,2026-05-23 19:42:21
T51,2026-05-23T19:38:48,346,149,C,0.430635838150289,0.569364161849711,Low Risk,2026-05-23 19:42:21
TM43,2026-05-23T19:37:57,247,177,C,0.7165991902834008,0.2834008097165992,Low Risk,2026-05-23 19:42:21
T15,2026-05-23T19:37:57,30,5,C,0.16666666666666666,0.8333333333333334,Medium Risk,2026-05-23 19:42:21
T16,2026-05-23T19:37:45,109,40,C,0.3669724770642202,0.6330275229357798,Low Risk,2026-05-23 19:42:21
