carpark_number,update_datetime,total_lots,lots_available,lot_type,availability_rate,parking_pressure,risk_category,retrieved_at
HE12,2026-05-24T23:43:08,105,101,C,0.9619047619047619,0.03809523809523807,Low Risk,2026-05-24 23:45:17
HLM,2026-05-24T23:43:56,583,507,C,0.869639794168096,0.130360205831904,Low Risk,2026-05-24 23:45:17
RHM,2026-05-24T23:43:08,329,140,C,0.425531914893617,0.574468085106383,Low Risk,2026-05-24 23:45:17
BM29,2026-05-24T23:43:49,96,57,C,0.59375,0.40625,Low Risk,2026-05-24 23:45:17
Q81,2026-05-24T23:43:54,97,89,C,0.9175257731958762,0.08247422680412375,Low Risk,2026-05-24 23:45:17
C20,2026-05-24T23:43:54,176,158,C,0.8977272727272727,0.10227272727272729,Low Risk,2026-05-24 23:45:17
FR3M,2026-05-24T23:44:13,228,170,C,0.7456140350877193,0.2543859649122807,Low Risk,2026-05-24 23:45:17
ACE,2026-05-24T23:43:23,485,453,C,0.934020618556701,0.06597938144329896,Low Risk,2026-05-24 23:45:17
C6,2026-05-24T23:44:14,332,136,C,0.40963855421686746,0.5903614457831325,Low Risk,2026-05-24 23:45:17
TG2,2026-05-24T23:43:58,273,94,C,0.3443223443223443,0.6556776556776557,Low Risk,2026-05-24 23:45:17
BP1,2026-05-24T23:43:59,577,277,C,0.4800693240901213,0.5199306759098787,Low Risk,2026-05-24 23:45:17
TG1,2026-05-24T23:43:48,133,66,C,0.49624060150375937,0.5037593984962406,Low Risk,2026-05-24 23:45:17
TGM2,2026-05-24T23:43:58,189,118,C,0.6243386243386243,0.3756613756613757,Low Risk,2026-05-24 23:45:17
TE14,2026-05-24T23:43:58,105,38,C,0.3619047619047619,0.638095238095238,Low Risk,2026-05-24 23:45:17
BM3,2026-05-24T23:43:57,5,0,C,0.0,1.0,High Risk,2026-05-24 23:45:17
W93,2026-05-24T23:41:27,375,219,C,0.584,0.41600000000000004,Low Risk,2026-05-24 23:45:17
HG44,2026-05-24T23:43:40,155,35,C,0.22580645161290322,0.7741935483870968,Medium Risk,2026-05-24 23:45:17
HG64,2026-05-24T23:43:13,82,47,C,0.573170731707317,0.426829268292683,Low Risk,2026-05-24 23:45:17
PM27,2026-05-24T23:42:14,326,117,C,0.3588957055214724,0.6411042944785277,Low Risk,2026-05-24 23:45:17
PM28,2026-05-24T23:43:13,309,108,C,0.34951456310679613,0.6504854368932038,Low Risk,2026-05-24 23:45:17
TM36,2026-05-24T23:42:10,225,71,C,0.31555555555555553,0.6844444444444444,Low Risk,2026-05-24 23:45:17
TM37,2026-05-24T23:42:12,244,74,C,0.30327868852459017,0.6967213114754098,Low Risk,2026-05-24 23:45:17
T50,2026-05-24T23:43:39,350,110,C,0.3142857142857143,0.6857142857142857,Low Risk,2026-05-24 23:45:17
T51,2026-05-24T23:44:15,346,57,C,0.16473988439306358,0.8352601156069364,Medium Risk,2026-05-24 23:45:17
TM43,2026-05-24T23:41:02,247,181,C,0.7327935222672065,0.2672064777327935,Low Risk,2026-05-24 23:45:17
T15,2026-05-24T23:41:02,30,21,C,0.7,0.30000000000000004,Low Risk,2026-05-24 23:45:17
T16,2026-05-24T23:43:09,109,45,C,0.41284403669724773,0.5871559633027523,Low Risk,2026-05-24 23:45:17
T17,2026-05-24T23:44:08,228,122,C,0.5350877192982456,0.4649122807017544,Low Risk,2026-05-24 23:45:17
T18,2026-05-24T23:43:20,81,58,C,0.7160493827160493,0.28395061728395066,Low Risk,2026-05-24 23:45:17
B9,2026-05-24T23:39:58,213,133,C,0.6244131455399061,0.3755868544600939,Low Risk,2026-05-24 23:45:17
B10,2026-05-24T23:44:02,516,215,C,0.4166666666666667,0.5833333333333333,Low Risk,2026-05-24 23:45:17
W92,2026-05-24T23:41:27,280,90,C,0.32142857142857145,0.6785714285714286,Low Risk,2026-05-24 23:45:17
WCB,2026-05-24T23:34:41,143,81,C,0.5664335664335665,0.43356643356643354,Low Risk,2026-05-24 23:45:17
ACB,2026-05-24T23:43:25,91,65,C,0.7142857142857143,0.2857142857142857,Low Risk,2026-05-24 23:45:17
CY,2026-05-24T23:43:25,36,18,C,0.5,0.5,Low Risk,2026-05-24 23:45:17
AM46,2026-05-24T23:30:51,403,60,C,0.1488833746898263,0.8511166253101737,Medium Risk,2026-05-24 23:45:17
A12,2026-05-24T23:43:55,194,101,C,0.520618556701031,0.47938144329896903,Low Risk,2026-05-24 23:45:17
BE45,2026-05-24T23:43:49,363,50,C,0.13774104683195593,0.862258953168044,Medium Risk,2026-05-24 23:45:17
BE39,2026-05-24T23:43:55,705,140,C,0.19858156028368795,0.801418439716312,Medium Risk,2026-05-24 23:45:17
W74,2026-05-24T23:41:31,365,174,C,0.4767123287671233,0.5232876712328767,Low Risk,2026-05-24 23:45:17
Y79M,2026-05-24T23:42:27,453,187,C,0.41280353200883,0.58719646799117,Low Risk,2026-05-24 23:45:17
CR29,2026-05-24T23:42:45,72,15,C,0.20833333333333334,0.7916666666666666,Medium Risk,2026-05-24 23:45:17
KLM,2026-05-24T23:42:45,348,272,C,0.7816091954022989,0.2183908045977011,Low Risk,2026-05-24 23:45:17
SE34,2026-05-24T23:44:11,270,68,C,0.2518518518518518,0.7481481481481482,Medium Risk,2026-05-24 23:45:17
KB7,2026-05-24T23:41:06,65,63,C,0.9692307692307692,0.03076923076923077,Low Risk,2026-05-24 23:45:17
SE31,2026-05-24T23:43:58,187,6,C,0.03208556149732621,0.9679144385026738,High Risk,2026-05-24 23:45:17
J56,2026-05-24T23:37:58,15,14,C,0.9333333333333333,0.06666666666666665,Low Risk,2026-05-24 23:45:17
J57,2026-05-24T23:42:20,363,356,C,0.9807162534435262,0.019283746556473802,Low Risk,2026-05-24 23:45:17
J57L,2026-05-24T23:42:20,13,12,C,0.9230769230769231,0.07692307692307687,Low Risk,2026-05-24 23:45:17
J33,2026-05-24T23:43:48,136,54,C,0.39705882352941174,0.6029411764705883,Low Risk,2026-05-24 23:45:17
J34,2026-05-24T23:40:55,105,33,C,0.3142857142857143,0.6857142857142857,Low Risk,2026-05-24 23:45:17
BL8,2026-05-24T23:43:26,657,331,C,0.5038051750380518,0.4961948249619482,Low Risk,2026-05-24 23:45:17
J36,2026-05-24T23:41:26,491,117,C,0.23828920570264767,0.7617107942973523,Medium Risk,2026-05-24 23:45:17
J54,2026-05-24T23:43:25,184,114,C,0.6195652173913043,0.3804347826086957,Low Risk,2026-05-24 23:45:17
J55,2026-05-24T23:43:36,132,94,C,0.7121212121212122,0.28787878787878785,Low Risk,2026-05-24 23:45:17
J43,2026-05-24T23:40:59,190,64,C,0.3368421052631579,0.6631578947368422,Low Risk,2026-05-24 23:45:17
J46,2026-05-24T23:42:35,63,34,C,0.5396825396825397,0.46031746031746035,Low Risk,2026-05-24 23:45:17
KB1,2026-05-24T23:38:39,239,238,C,0.99581589958159,0.004184100418409997,Low Risk,2026-05-24 23:45:17
GBM,2026-05-24T23:38:39,677,676,C,0.9985228951255539,0.001477104874446078,Low Risk,2026-05-24 23:45:17
SE14,2026-05-24T23:43:51,187,62,C,0.3315508021390374,0.6684491978609626,Low Risk,2026-05-24 23:45:17
SE50,2026-05-24T23:43:51,591,376,C,0.6362098138747885,0.3637901861252115,Low Risk,2026-05-24 23:45:17
J40,2026-05-24T23:43:32,206,40,C,0.1941747572815534,0.8058252427184466,Medium Risk,2026-05-24 23:45:17
JM1,2026-05-24T23:43:16,268,143,C,0.5335820895522388,0.46641791044776115,Low Risk,2026-05-24 23:45:17
J32,2026-05-24T23:43:16,199,87,C,0.4371859296482412,0.5628140703517588,Low Risk,2026-05-24 23:45:17
A11,2026-05-24T23:43:14,410,233,C,0.5682926829268292,0.4317073170731708,Low Risk,2026-05-24 23:45:17
TR1,2026-05-24T23:42:41,361,95,C,0.2631578947368421,0.736842105263158,Medium Risk,2026-05-24 23:45:17
JBM,2026-05-24T23:43:07,328,214,C,0.6524390243902439,0.3475609756097561,Low Risk,2026-05-24 23:45:17
