carpark_number,update_datetime,total_lots,lots_available,lot_type,availability_rate,parking_pressure,risk_category,retrieved_at
HE12,2026-05-22T13:53:52,105,101,C,0.9619047619047619,0.03809523809523807,Low Risk,2026-05-22 13:54:44
HLM,2026-05-22T13:53:45,583,70,C,0.12006861063464837,0.8799313893653516,Medium Risk,2026-05-22 13:54:44
RHM,2026-05-22T13:53:53,329,170,C,0.5167173252279635,0.48328267477203646,Low Risk,2026-05-22 13:54:44
BM29,2026-05-22T13:54:00,96,8,C,0.08333333333333333,0.9166666666666666,High Risk,2026-05-22 13:54:44
Q81,2026-05-22T13:53:51,97,32,C,0.32989690721649484,0.6701030927835052,Low Risk,2026-05-22 13:54:44
C20,2026-05-22T13:53:51,176,37,C,0.21022727272727273,0.7897727272727273,Medium Risk,2026-05-22 13:54:44
FR3M,2026-05-22T13:53:43,228,136,C,0.5964912280701754,0.4035087719298246,Low Risk,2026-05-22 13:54:44
ACE,2026-05-22T13:53:55,485,394,C,0.8123711340206186,0.18762886597938144,Low Risk,2026-05-22 13:54:44
C6,2026-05-22T13:54:03,332,169,C,0.5090361445783133,0.49096385542168675,Low Risk,2026-05-22 13:54:44
TG2,2026-05-22T13:54:07,273,106,C,0.3882783882783883,0.6117216117216118,Low Risk,2026-05-22 13:54:44
BP1,2026-05-22T13:54:08,577,386,C,0.6689774696707106,0.3310225303292894,Low Risk,2026-05-22 13:54:44
TG1,2026-05-22T13:53:48,133,104,C,0.7819548872180451,0.21804511278195493,Low Risk,2026-05-22 13:54:44
TGM2,2026-05-22T13:54:07,189,141,C,0.746031746031746,0.25396825396825395,Low Risk,2026-05-22 13:54:44
TE14,2026-05-22T13:54:05,105,62,C,0.5904761904761905,0.4095238095238095,Low Risk,2026-05-22 13:54:44
BM3,2026-05-22T13:53:55,5,0,C,0.0,1.0,High Risk,2026-05-22 13:54:44
W93,2026-05-22T13:51:23,375,301,C,0.8026666666666666,0.19733333333333336,Low Risk,2026-05-22 13:54:44
HG44,2026-05-22T13:52:50,155,21,C,0.13548387096774195,0.864516129032258,Medium Risk,2026-05-22 13:54:44
HG64,2026-05-22T13:51:45,82,36,C,0.43902439024390244,0.5609756097560976,Low Risk,2026-05-22 13:54:44
PM27,2026-05-22T13:52:41,326,243,C,0.745398773006135,0.254601226993865,Low Risk,2026-05-22 13:54:44
PM28,2026-05-22T13:52:30,309,204,C,0.6601941747572816,0.3398058252427184,Low Risk,2026-05-22 13:54:44
TM36,2026-05-22T13:52:43,225,129,C,0.5733333333333334,0.42666666666666664,Low Risk,2026-05-22 13:54:44
TM37,2026-05-22T13:52:55,244,123,C,0.5040983606557377,0.49590163934426235,Low Risk,2026-05-22 13:54:44
T50,2026-05-22T13:52:50,350,237,C,0.6771428571428572,0.32285714285714284,Low Risk,2026-05-22 13:54:44
T51,2026-05-22T13:52:51,346,218,C,0.630057803468208,0.36994219653179194,Low Risk,2026-05-22 13:54:44
TM43,2026-05-22T13:52:58,247,174,C,0.7044534412955465,0.29554655870445345,Low Risk,2026-05-22 13:54:44
T15,2026-05-22T13:52:58,30,5,C,0.16666666666666666,0.8333333333333334,Medium Risk,2026-05-22 13:54:44
T16,2026-05-22T13:52:53,109,59,C,0.5412844036697247,0.45871559633027525,Low Risk,2026-05-22 13:54:44
T17,2026-05-22T13:52:47,228,136,C,0.5964912280701754,0.4035087719298246,Low Risk,2026-05-22 13:54:44
T18,2026-05-22T13:52:55,81,20,C,0.24691358024691357,0.7530864197530864,Medium Risk,2026-05-22 13:54:44
B9,2026-05-22T13:51:08,213,180,C,0.8450704225352113,0.15492957746478875,Low Risk,2026-05-22 13:54:44
B10,2026-05-22T13:52:42,516,334,C,0.6472868217054264,0.3527131782945736,Low Risk,2026-05-22 13:54:44
W92,2026-05-22T13:51:09,280,218,C,0.7785714285714286,0.22142857142857142,Low Risk,2026-05-22 13:54:44
WCB,2026-05-22T13:49:38,143,2,C,0.013986013986013986,0.986013986013986,High Risk,2026-05-22 13:54:44
ACB,2026-05-22T13:50:27,91,6,C,0.06593406593406594,0.9340659340659341,High Risk,2026-05-22 13:54:44
CY,2026-05-22T13:46:59,36,3,C,0.08333333333333333,0.9166666666666666,High Risk,2026-05-22 13:54:44
