carpark_number,update_datetime,total_lots,lots_available,lot_type,availability_rate,parking_pressure,risk_category,retrieved_at
HE12,2026-05-29T01:49:03,105,101,C,0.9619047619047619,0.03809523809523807,Low Risk,2026-05-29 01:50:13
HLM,2026-05-29T01:49:16,583,496,C,0.8507718696397941,0.14922813036020588,Low Risk,2026-05-29 01:50:13
RHM,2026-05-29T01:49:03,329,140,C,0.425531914893617,0.574468085106383,Low Risk,2026-05-29 01:50:13
BM29,2026-05-29T01:49:10,96,82,C,0.8541666666666666,0.14583333333333337,Low Risk,2026-05-29 01:50:13
Q81,2026-05-29T01:49:13,97,84,C,0.865979381443299,0.134020618556701,Low Risk,2026-05-29 01:50:13
C20,2026-05-29T01:49:00,176,174,C,0.9886363636363636,0.011363636363636354,Low Risk,2026-05-29 01:50:13
FR3M,2026-05-29T01:49:10,228,172,C,0.7543859649122807,0.24561403508771928,Low Risk,2026-05-29 01:50:13
ACE,2026-05-29T01:49:16,485,448,C,0.9237113402061856,0.07628865979381438,Low Risk,2026-05-29 01:50:13
C6,2026-05-29T01:49:20,332,126,C,0.3795180722891566,0.6204819277108433,Low Risk,2026-05-29 01:50:13
TG2,2026-05-29T01:49:04,273,90,C,0.32967032967032966,0.6703296703296704,Low Risk,2026-05-29 01:50:13
BP1,2026-05-29T01:49:12,577,270,C,0.4679376083188908,0.5320623916811091,Low Risk,2026-05-29 01:50:13
TG1,2026-05-29T01:49:02,133,63,C,0.47368421052631576,0.5263157894736843,Low Risk,2026-05-29 01:50:13
TGM2,2026-05-29T01:49:04,189,109,C,0.5767195767195767,0.42328042328042326,Low Risk,2026-05-29 01:50:13
TE14,2026-05-29T01:49:08,105,34,C,0.3238095238095238,0.6761904761904762,Low Risk,2026-05-29 01:50:13
BM3,2026-05-29T01:48:59,5,0,C,0.0,1.0,High Risk,2026-05-29 01:50:13
W93,2026-05-29T01:46:12,375,210,C,0.56,0.43999999999999995,Low Risk,2026-05-29 01:50:13
HG44,2026-05-29T01:48:02,155,54,C,0.34838709677419355,0.6516129032258065,Low Risk,2026-05-29 01:50:13
HG64,2026-05-29T01:48:02,82,59,C,0.7195121951219512,0.2804878048780488,Low Risk,2026-05-29 01:50:13
PM27,2026-05-29T01:41:58,326,119,C,0.36503067484662577,0.6349693251533742,Low Risk,2026-05-29 01:50:13
PM28,2026-05-29T01:45:31,309,113,C,0.3656957928802589,0.6343042071197411,Low Risk,2026-05-29 01:50:13
TM36,2026-05-29T01:47:15,225,67,C,0.29777777777777775,0.7022222222222223,Medium Risk,2026-05-29 01:50:13
TM37,2026-05-29T01:47:52,244,74,C,0.30327868852459017,0.6967213114754098,Low Risk,2026-05-29 01:50:13
T50,2026-05-29T01:47:49,350,110,C,0.3142857142857143,0.6857142857142857,Low Risk,2026-05-29 01:50:13
T51,2026-05-29T01:46:32,346,42,C,0.12138728323699421,0.8786127167630058,Medium Risk,2026-05-29 01:50:13
TM43,2026-05-29T01:46:38,247,181,C,0.7327935222672065,0.2672064777327935,Low Risk,2026-05-29 01:50:13
T15,2026-05-29T01:46:38,30,22,C,0.7333333333333333,0.2666666666666667,Low Risk,2026-05-29 01:50:13
T16,2026-05-29T01:45:35,109,36,C,0.3302752293577982,0.6697247706422018,Low Risk,2026-05-29 01:50:13
T17,2026-05-29T01:48:15,228,108,C,0.47368421052631576,0.5263157894736843,Low Risk,2026-05-29 01:50:13
T18,2026-05-29T01:45:05,81,57,C,0.7037037037037037,0.2962962962962963,Low Risk,2026-05-29 01:50:13
B9,2026-05-29T01:48:01,213,106,C,0.49765258215962443,0.5023474178403755,Low Risk,2026-05-29 01:50:13
B10,2026-05-29T01:47:44,516,197,C,0.3817829457364341,0.6182170542635659,Low Risk,2026-05-29 01:50:13
W92,2026-05-29T01:45:58,280,82,C,0.29285714285714287,0.7071428571428571,Medium Risk,2026-05-29 01:50:13
WCB,2026-05-29T01:46:13,143,78,C,0.5454545454545454,0.4545454545454546,Low Risk,2026-05-29 01:50:13
ACB,2026-05-29T01:48:19,91,64,C,0.7032967032967034,0.29670329670329665,Low Risk,2026-05-29 01:50:13
CY,2026-05-29T01:48:19,36,19,C,0.5277777777777778,0.4722222222222222,Low Risk,2026-05-29 01:50:13
AM46,2026-05-29T01:32:58,403,76,C,0.18858560794044665,0.8114143920595533,Medium Risk,2026-05-29 01:50:13
A12,2026-05-29T01:49:01,194,105,C,0.5412371134020618,0.4587628865979382,Low Risk,2026-05-29 01:50:13
BE45,2026-05-29T01:49:18,363,51,C,0.14049586776859505,0.859504132231405,Medium Risk,2026-05-29 01:50:13
BE39,2026-05-29T01:49:01,705,67,C,0.0950354609929078,0.9049645390070922,High Risk,2026-05-29 01:50:13
W74,2026-05-29T01:46:19,365,179,C,0.4904109589041096,0.5095890410958904,Low Risk,2026-05-29 01:50:13
Y79M,2026-05-29T01:47:52,453,177,C,0.39072847682119205,0.609271523178808,Low Risk,2026-05-29 01:50:13
CR29,2026-05-29T01:47:40,72,16,C,0.2222222222222222,0.7777777777777778,Medium Risk,2026-05-29 01:50:13
KLM,2026-05-29T01:47:40,348,269,C,0.7729885057471264,0.2270114942528736,Low Risk,2026-05-29 01:50:13
SE34,2026-05-29T01:49:06,270,62,C,0.22962962962962963,0.7703703703703704,Medium Risk,2026-05-29 01:50:13
KB7,2026-05-29T01:44:08,65,63,C,0.9692307692307692,0.03076923076923077,Low Risk,2026-05-29 01:50:13
SE31,2026-05-29T01:49:09,187,7,C,0.0374331550802139,0.9625668449197861,High Risk,2026-05-29 01:50:13
J56,2026-05-29T01:47:09,15,14,C,0.9333333333333333,0.06666666666666665,Low Risk,2026-05-29 01:50:13
J57,2026-05-29T01:48:31,363,350,C,0.9641873278236914,0.03581267217630857,Low Risk,2026-05-29 01:50:13
J57L,2026-05-29T01:46:31,13,11,C,0.8461538461538461,0.15384615384615385,Low Risk,2026-05-29 01:50:13
J33,2026-05-29T01:48:18,136,51,C,0.375,0.625,Low Risk,2026-05-29 01:50:13
J34,2026-05-29T01:41:42,105,33,C,0.3142857142857143,0.6857142857142857,Low Risk,2026-05-29 01:50:13
BL8,2026-05-29T01:47:49,657,312,C,0.4748858447488584,0.5251141552511416,Low Risk,2026-05-29 01:50:13
J36,2026-05-29T01:46:57,491,115,C,0.23421588594704684,0.7657841140529531,Medium Risk,2026-05-29 01:50:13
J54,2026-05-29T01:47:14,184,120,C,0.6521739130434783,0.34782608695652173,Low Risk,2026-05-29 01:50:13
J55,2026-05-29T01:48:41,132,95,C,0.7196969696969697,0.2803030303030303,Low Risk,2026-05-29 01:50:13
J43,2026-05-29T01:45:47,190,57,C,0.3,0.7,Low Risk,2026-05-29 01:50:13
J46,2026-05-29T01:47:37,63,45,C,0.7142857142857143,0.2857142857142857,Low Risk,2026-05-29 01:50:13
KB1,2026-05-29T01:45:36,239,238,C,0.99581589958159,0.004184100418409997,Low Risk,2026-05-29 01:50:13
GBM,2026-05-29T01:45:36,677,674,C,0.9955686853766618,0.004431314623338234,Low Risk,2026-05-29 01:50:13
SE14,2026-05-29T01:49:20,187,57,C,0.3048128342245989,0.6951871657754011,Low Risk,2026-05-29 01:50:13
SE50,2026-05-29T01:49:20,591,370,C,0.626057529610829,0.37394247038917094,Low Risk,2026-05-29 01:50:13
J40,2026-05-29T01:46:12,206,44,C,0.21359223300970873,0.7864077669902912,Medium Risk,2026-05-29 01:50:13
JM1,2026-05-29T01:48:26,268,143,C,0.5335820895522388,0.46641791044776115,Low Risk,2026-05-29 01:50:13
J32,2026-05-29T01:48:26,199,81,C,0.40703517587939697,0.592964824120603,Low Risk,2026-05-29 01:50:13
A11,2026-05-29T01:49:19,410,228,C,0.5560975609756098,0.4439024390243902,Low Risk,2026-05-29 01:50:13
TR1,2026-05-29T01:48:14,361,100,C,0.2770083102493075,0.7229916897506925,Medium Risk,2026-05-29 01:50:13
JBM,2026-05-29T01:49:23,328,217,C,0.6615853658536586,0.33841463414634143,Low Risk,2026-05-29 01:50:13
TE2,2026-05-29T01:49:25,213,137,C,0.6431924882629108,0.35680751173708924,Low Risk,2026-05-29 01:50:13
CR31,2026-05-29T01:42:21,87,5,C,0.05747126436781609,0.9425287356321839,High Risk,2026-05-29 01:50:13
J1,2026-05-29T01:46:58,368,167,C,0.453804347826087,0.5461956521739131,Low Risk,2026-05-29 01:50:13
J2,2026-05-29T01:43:12,200,82,C,0.41,0.5900000000000001,Low Risk,2026-05-29 01:50:13
J3,2026-05-29T01:42:27,308,136,C,0.44155844155844154,0.5584415584415585,Low Risk,2026-05-29 01:50:13
T37,2026-05-29T01:47:58,1163,519,C,0.44625967325881344,0.5537403267411866,Low Risk,2026-05-29 01:50:13
KB3,2026-05-29T01:48:16,149,62,C,0.4161073825503356,0.5838926174496644,Low Risk,2026-05-29 01:50:13
KBM,2026-05-29T01:46:41,239,160,C,0.6694560669456067,0.33054393305439334,Low Risk,2026-05-29 01:50:13
