carpark_number,update_datetime,total_lots,lots_available,lot_type,availability_rate,parking_pressure,risk_category,retrieved_at
HE12,2026-05-25T16:41:20,105,101,C,0.9619047619047619,0.03809523809523807,Low Risk,2026-05-25 16:43:38
HLM,2026-05-25T16:41:45,583,81,C,0.13893653516295026,0.8610634648370498,Medium Risk,2026-05-25 16:43:38
RHM,2026-05-25T16:41:20,329,188,C,0.5714285714285714,0.4285714285714286,Low Risk,2026-05-25 16:43:38
BM29,2026-05-25T16:41:34,96,13,C,0.13541666666666666,0.8645833333333334,Medium Risk,2026-05-25 16:43:38
Q81,2026-05-25T16:41:40,97,41,C,0.422680412371134,0.5773195876288659,Low Risk,2026-05-25 16:43:38
C20,2026-05-25T16:41:58,176,40,C,0.22727272727272727,0.7727272727272727,Medium Risk,2026-05-25 16:43:38
FR3M,2026-05-25T16:41:41,228,148,C,0.6491228070175439,0.3508771929824561,Low Risk,2026-05-25 16:43:38
ACE,2026-05-25T16:41:45,485,391,C,0.8061855670103093,0.1938144329896907,Low Risk,2026-05-25 16:43:38
C6,2026-05-25T16:41:34,332,154,C,0.463855421686747,0.536144578313253,Low Risk,2026-05-25 16:43:38
TG2,2026-05-25T16:41:36,273,148,C,0.5421245421245421,0.4578754578754579,Low Risk,2026-05-25 16:43:38
BP1,2026-05-25T16:41:41,577,395,C,0.6845753899480069,0.31542461005199307,Low Risk,2026-05-25 16:43:38
TG1,2026-05-25T16:41:36,133,109,C,0.8195488721804511,0.18045112781954886,Low Risk,2026-05-25 16:43:38
TGM2,2026-05-25T16:41:36,189,128,C,0.6772486772486772,0.3227513227513228,Low Risk,2026-05-25 16:43:38
TE14,2026-05-25T16:41:47,105,68,C,0.6476190476190476,0.35238095238095235,Low Risk,2026-05-25 16:43:38
BM3,2026-05-25T16:41:32,5,0,C,0.0,1.0,High Risk,2026-05-25 16:43:38
W93,2026-05-25T16:39:23,375,288,C,0.768,0.23199999999999998,Low Risk,2026-05-25 16:43:38
HG44,2026-05-25T16:41:55,155,23,C,0.14838709677419354,0.8516129032258064,Medium Risk,2026-05-25 16:43:38
HG64,2026-05-25T16:41:52,82,26,C,0.3170731707317073,0.6829268292682926,Low Risk,2026-05-25 16:43:38
PM27,2026-05-25T16:38:49,326,216,C,0.6625766871165644,0.33742331288343563,Low Risk,2026-05-25 16:43:38
PM28,2026-05-25T16:40:57,309,184,C,0.5954692556634305,0.40453074433656955,Low Risk,2026-05-25 16:43:38
TM36,2026-05-25T16:41:16,225,140,C,0.6222222222222222,0.37777777777777777,Low Risk,2026-05-25 16:43:38
TM37,2026-05-25T16:41:28,244,160,C,0.6557377049180327,0.34426229508196726,Low Risk,2026-05-25 16:43:38
T50,2026-05-25T16:41:44,350,229,C,0.6542857142857142,0.34571428571428575,Low Risk,2026-05-25 16:43:38
T51,2026-05-25T16:41:59,346,184,C,0.5317919075144508,0.4682080924855492,Low Risk,2026-05-25 16:43:38
TM43,2026-05-25T16:41:50,247,164,C,0.6639676113360324,0.33603238866396756,Low Risk,2026-05-25 16:43:38
T15,2026-05-25T16:41:50,30,4,C,0.13333333333333333,0.8666666666666667,Medium Risk,2026-05-25 16:43:38
T16,2026-05-25T16:41:36,109,62,C,0.5688073394495413,0.4311926605504587,Low Risk,2026-05-25 16:43:38
T17,2026-05-25T16:41:59,228,125,C,0.5482456140350878,0.45175438596491224,Low Risk,2026-05-25 16:43:38
T18,2026-05-25T16:41:59,81,0,C,0.0,1.0,High Risk,2026-05-25 16:43:38
B9,2026-05-25T16:41:21,213,161,C,0.755868544600939,0.244131455399061,Low Risk,2026-05-25 16:43:38
B10,2026-05-25T16:41:20,516,335,C,0.6492248062015504,0.35077519379844957,Low Risk,2026-05-25 16:43:38
W92,2026-05-25T16:39:12,280,170,C,0.6071428571428571,0.3928571428571429,Low Risk,2026-05-25 16:43:38
WCB,2026-05-25T16:35:51,143,10,C,0.06993006993006994,0.9300699300699301,High Risk,2026-05-25 16:43:38
ACB,2026-05-25T16:37:59,91,22,C,0.24175824175824176,0.7582417582417582,Medium Risk,2026-05-25 16:43:38
CY,2026-05-25T16:38:40,36,0,C,0.0,1.0,High Risk,2026-05-25 16:43:38
AM46,2026-05-25T16:33:51,403,243,C,0.6029776674937966,0.39702233250620345,Low Risk,2026-05-25 16:43:38
A12,2026-05-25T16:41:38,194,142,C,0.7319587628865979,0.2680412371134021,Low Risk,2026-05-25 16:43:38
BE45,2026-05-25T16:41:36,363,203,C,0.559228650137741,0.44077134986225897,Low Risk,2026-05-25 16:43:38
BE39,2026-05-25T16:41:42,705,368,C,0.5219858156028369,0.47801418439716314,Low Risk,2026-05-25 16:43:38
W74,2026-05-25T16:39:13,365,265,C,0.726027397260274,0.273972602739726,Low Risk,2026-05-25 16:43:38
Y79M,2026-05-25T16:38:38,453,317,C,0.6997792494481236,0.30022075055187636,Low Risk,2026-05-25 16:43:38
CR29,2026-05-25T16:38:52,72,12,C,0.16666666666666666,0.8333333333333334,Medium Risk,2026-05-25 16:43:38
KLM,2026-05-25T16:38:52,348,210,C,0.603448275862069,0.39655172413793105,Low Risk,2026-05-25 16:43:38
SE34,2026-05-25T16:41:49,270,142,C,0.5259259259259259,0.4740740740740741,Low Risk,2026-05-25 16:43:38
KB7,2026-05-25T16:37:27,65,63,C,0.9692307692307692,0.03076923076923077,Low Risk,2026-05-25 16:43:38
SE31,2026-05-25T16:41:46,187,103,C,0.5508021390374331,0.44919786096256686,Low Risk,2026-05-25 16:43:38
J56,2026-05-25T16:38:15,15,0,C,0.0,1.0,High Risk,2026-05-25 16:43:38
J57,2026-05-25T16:38:59,363,163,C,0.4490358126721763,0.5509641873278237,Low Risk,2026-05-25 16:43:38
J57L,2026-05-25T16:38:59,13,3,C,0.23076923076923078,0.7692307692307692,Medium Risk,2026-05-25 16:43:38
J33,2026-05-25T16:38:30,136,74,C,0.5441176470588235,0.4558823529411765,Low Risk,2026-05-25 16:43:38
J34,2026-05-25T16:37:14,105,70,C,0.6666666666666666,0.33333333333333337,Low Risk,2026-05-25 16:43:38
BL8,2026-05-25T16:38:48,657,319,C,0.4855403348554033,0.5144596651445967,Low Risk,2026-05-25 16:43:38
J36,2026-05-25T16:38:58,491,312,C,0.6354378818737271,0.3645621181262729,Low Risk,2026-05-25 16:43:38
J54,2026-05-25T16:38:58,184,56,C,0.30434782608695654,0.6956521739130435,Low Risk,2026-05-25 16:43:38
J55,2026-05-25T16:38:07,132,85,C,0.6439393939393939,0.3560606060606061,Low Risk,2026-05-25 16:43:38
J43,2026-05-25T16:38:12,190,127,C,0.6684210526315789,0.3315789473684211,Low Risk,2026-05-25 16:43:38
J46,2026-05-25T16:38:58,63,23,C,0.36507936507936506,0.6349206349206349,Low Risk,2026-05-25 16:43:38
KB1,2026-05-25T16:05:52,239,0,C,0.0,1.0,High Risk,2026-05-25 16:43:38
GBM,2026-05-25T16:08:43,677,0,C,0.0,1.0,High Risk,2026-05-25 16:43:38
SE14,2026-05-25T16:41:55,187,111,C,0.5935828877005348,0.4064171122994652,Low Risk,2026-05-25 16:43:38
SE50,2026-05-25T16:41:55,591,460,C,0.7783417935702199,0.22165820642978007,Low Risk,2026-05-25 16:43:38
J40,2026-05-25T16:40:43,206,121,C,0.587378640776699,0.412621359223301,Low Risk,2026-05-25 16:43:38
JM1,2026-05-25T16:40:11,268,196,C,0.7313432835820896,0.26865671641791045,Low Risk,2026-05-25 16:43:38
J32,2026-05-25T16:40:11,199,132,C,0.6633165829145728,0.33668341708542715,Low Risk,2026-05-25 16:43:38
A11,2026-05-25T16:41:38,410,271,C,0.6609756097560976,0.3390243902439024,Low Risk,2026-05-25 16:43:38
TR1,2026-05-25T16:34:55,361,178,C,0.4930747922437673,0.5069252077562327,Low Risk,2026-05-25 16:43:38
JBM,2026-05-25T16:41:37,328,262,C,0.7987804878048781,0.2012195121951219,Low Risk,2026-05-25 16:43:38
TE2,2026-05-25T16:41:40,213,164,C,0.7699530516431925,0.2300469483568075,Low Risk,2026-05-25 16:43:38
CR31,2026-05-25T16:41:29,87,21,C,0.2413793103448276,0.7586206896551724,Medium Risk,2026-05-25 16:43:38
J1,2026-05-25T16:41:12,368,229,C,0.6222826086956522,0.3777173913043478,Low Risk,2026-05-25 16:43:38
J2,2026-05-25T16:41:29,200,145,C,0.725,0.275,Low Risk,2026-05-25 16:43:38
J3,2026-05-25T16:41:33,308,228,C,0.7402597402597403,0.2597402597402597,Low Risk,2026-05-25 16:43:38
T37,2026-05-25T16:41:55,1163,770,C,0.6620808254514188,0.3379191745485812,Low Risk,2026-05-25 16:43:38
KB3,2026-05-25T16:41:26,149,61,C,0.40939597315436244,0.5906040268456376,Low Risk,2026-05-25 16:43:38
KBM,2026-05-25T16:39:32,239,180,C,0.7531380753138075,0.2468619246861925,Low Risk,2026-05-25 16:43:38
J4,2026-05-25T16:40:52,172,72,C,0.4186046511627907,0.5813953488372092,Low Risk,2026-05-25 16:43:38
TGM1,2026-05-25T16:41:39,388,299,C,0.770618556701031,0.22938144329896903,Low Risk,2026-05-25 16:43:38
TG3,2026-05-25T16:41:36,208,140,C,0.6730769230769231,0.32692307692307687,Low Risk,2026-05-25 16:43:38
TG6,2026-05-25T16:41:37,176,128,C,0.7272727272727273,0.2727272727272727,Low Risk,2026-05-25 16:43:38
TG7,2026-05-25T16:41:37,362,233,C,0.643646408839779,0.35635359116022103,Low Risk,2026-05-25 16:43:38
CR30,2026-05-25T16:41:07,54,9,C,0.16666666666666666,0.8333333333333334,Medium Risk,2026-05-25 16:43:38
RCM,2026-05-25T16:41:07,151,69,C,0.45695364238410596,0.543046357615894,Low Risk,2026-05-25 16:43:38
EPM,2026-05-25T16:41:38,286,76,C,0.26573426573426573,0.7342657342657343,Medium Risk,2026-05-25 16:43:38
TGM3,2026-05-25T16:41:36,553,380,C,0.6871609403254972,0.31283905967450276,Low Risk,2026-05-25 16:43:38
KB14,2026-05-25T16:41:35,58,22,C,0.3793103448275862,0.6206896551724138,Low Risk,2026-05-25 16:43:38
J41,2026-05-25T16:38:56,361,234,C,0.6481994459833795,0.35180055401662047,Low Risk,2026-05-25 16:43:38
JBM2,2026-05-25T16:41:39,144,68,C,0.4722222222222222,0.5277777777777778,Low Risk,2026-05-25 16:43:38
J39,2026-05-25T16:38:56,283,178,C,0.6289752650176679,0.3710247349823321,Low Risk,2026-05-25 16:43:38
J52,2026-05-25T16:38:43,626,417,C,0.6661341853035144,0.3338658146964856,Low Risk,2026-05-25 16:43:38
J51,2026-05-25T16:38:38,494,314,C,0.6356275303643725,0.3643724696356275,Low Risk,2026-05-25 16:43:38
J53,2026-05-25T16:38:13,212,150,C,0.7075471698113207,0.2924528301886793,Low Risk,2026-05-25 16:43:38
T19,2026-05-25T16:41:40,881,577,C,0.6549375709421112,0.34506242905788875,Low Risk,2026-05-25 16:43:38
J49,2026-05-25T16:38:51,482,296,C,0.6141078838174274,0.3858921161825726,Low Risk,2026-05-25 16:43:38
J27,2026-05-25T16:37:49,217,116,C,0.5345622119815668,0.46543778801843316,Low Risk,2026-05-25 16:43:38
