carpark_number,update_datetime,total_lots,lots_available,lot_type,availability_rate,parking_pressure,risk_category,retrieved_at
HE12,2026-05-29T12:59:33,105,101,C,0.9619047619047619,0.03809523809523807,Low Risk,2026-05-29 13:01:08
HLM,2026-05-29T12:59:54,583,63,C,0.10806174957118353,0.8919382504288165,Medium Risk,2026-05-29 13:01:08
RHM,2026-05-29T12:59:33,329,119,C,0.3617021276595745,0.6382978723404256,Low Risk,2026-05-29 13:01:08
BM29,2026-05-29T13:00:09,96,0,C,0.0,1.0,High Risk,2026-05-29 13:01:08
Q81,2026-05-29T13:00:15,97,0,C,0.0,1.0,High Risk,2026-05-29 13:01:08
C20,2026-05-29T13:00:13,176,40,C,0.22727272727272727,0.7727272727272727,Medium Risk,2026-05-29 13:01:08
FR3M,2026-05-29T13:00:13,228,91,C,0.3991228070175439,0.6008771929824561,Low Risk,2026-05-29 13:01:08
ACE,2026-05-29T12:59:11,485,386,C,0.7958762886597938,0.20412371134020624,Low Risk,2026-05-29 13:01:08
C6,2026-05-29T13:00:05,332,148,C,0.4457831325301205,0.5542168674698795,Low Risk,2026-05-29 13:01:08
TG2,2026-05-29T12:59:55,273,52,C,0.19047619047619047,0.8095238095238095,Medium Risk,2026-05-29 13:01:08
BP1,2026-05-29T12:59:54,577,369,C,0.6395147313691508,0.3604852686308492,Low Risk,2026-05-29 13:01:08
TG1,2026-05-29T13:00:13,133,110,C,0.8270676691729323,0.17293233082706772,Low Risk,2026-05-29 13:01:08
TGM2,2026-05-29T12:59:55,189,110,C,0.582010582010582,0.417989417989418,Low Risk,2026-05-29 13:01:08
TE14,2026-05-29T12:59:51,105,56,C,0.5333333333333333,0.4666666666666667,Low Risk,2026-05-29 13:01:08
BM3,2026-05-29T12:59:54,5,0,C,0.0,1.0,High Risk,2026-05-29 13:01:08
W93,2026-05-29T12:57:01,375,300,C,0.8,0.19999999999999996,Low Risk,2026-05-29 13:01:08
HG44,2026-05-29T12:58:59,155,0,C,0.0,1.0,High Risk,2026-05-29 13:01:08
HG64,2026-05-29T12:58:42,82,4,C,0.04878048780487805,0.9512195121951219,High Risk,2026-05-29 13:01:08
PM27,2026-05-29T12:58:19,326,227,C,0.696319018404908,0.30368098159509205,Low Risk,2026-05-29 13:01:08
PM28,2026-05-29T12:58:44,309,185,C,0.598705501618123,0.40129449838187703,Low Risk,2026-05-29 13:01:08
TM36,2026-05-29T12:57:40,225,124,C,0.5511111111111111,0.4488888888888889,Low Risk,2026-05-29 13:01:08
TM37,2026-05-29T12:58:49,244,96,C,0.39344262295081966,0.6065573770491803,Low Risk,2026-05-29 13:01:08
T50,2026-05-29T12:58:53,350,206,C,0.5885714285714285,0.4114285714285715,Low Risk,2026-05-29 13:01:08
