carpark_number,update_datetime,total_lots,lots_available,lot_type,availability_rate,parking_pressure,risk_category,retrieved_at
HE12,2026-05-30T19:52:00,105,101,C,0.9619047619047619,0.03809523809523807,Low Risk,2026-05-30 19:53:40
HLM,2026-05-30T19:51:59,583,278,C,0.47684391080617494,0.5231560891938251,Low Risk,2026-05-30 19:53:40
RHM,2026-05-30T19:52:00,329,155,C,0.47112462006079026,0.5288753799392097,Low Risk,2026-05-30 19:53:40
BM29,2026-05-30T19:51:57,96,32,C,0.3333333333333333,0.6666666666666667,Low Risk,2026-05-30 19:53:40
Q81,2026-05-30T19:51:53,97,62,C,0.6391752577319587,0.3608247422680413,Low Risk,2026-05-30 19:53:40
C20,2026-05-30T19:52:04,176,13,C,0.07386363636363637,0.9261363636363636,High Risk,2026-05-30 19:53:40
FR3M,2026-05-30T19:51:47,228,177,C,0.7763157894736842,0.22368421052631582,Low Risk,2026-05-30 19:53:40
ACE,2026-05-30T19:51:57,485,456,C,0.9402061855670103,0.0597938144329897,Low Risk,2026-05-30 19:53:40
C6,2026-05-30T19:51:46,332,124,C,0.37349397590361444,0.6265060240963856,Low Risk,2026-05-30 19:53:40
TG2,2026-05-30T19:51:48,273,128,C,0.46886446886446886,0.5311355311355311,Low Risk,2026-05-30 19:53:40
BP1,2026-05-30T19:51:41,577,324,C,0.561525129982669,0.438474870017331,Low Risk,2026-05-30 19:53:40
TG1,2026-05-30T19:51:45,133,98,C,0.7368421052631579,0.26315789473684215,Low Risk,2026-05-30 19:53:40
TGM2,2026-05-30T19:51:48,189,130,C,0.6878306878306878,0.3121693121693122,Low Risk,2026-05-30 19:53:40
TE14,2026-05-30T19:51:44,105,37,C,0.3523809523809524,0.6476190476190475,Low Risk,2026-05-30 19:53:40
BM3,2026-05-30T19:51:42,5,0,C,0.0,1.0,High Risk,2026-05-30 19:53:40
W93,2026-05-30T19:49:09,375,265,C,0.7066666666666667,0.29333333333333333,Low Risk,2026-05-30 19:53:40
