carpark_number,update_datetime,total_lots,lots_available,lot_type,availability_rate,parking_pressure,risk_category,retrieved_at
HE12,2026-05-28T12:59:18,105,101,C,0.9619047619047619,0.03809523809523807,Low Risk,2026-05-28 12:59:57
HLM,2026-05-28T12:58:58,583,15,C,0.025728987993138937,0.9742710120068611,High Risk,2026-05-28 12:59:57
RHM,2026-05-28T12:59:18,329,134,C,0.4072948328267477,0.5927051671732523,Low Risk,2026-05-28 12:59:57
BM29,2026-05-28T12:58:56,96,2,C,0.020833333333333332,0.9791666666666666,High Risk,2026-05-28 12:59:57
Q81,2026-05-28T12:58:51,97,2,C,0.020618556701030927,0.979381443298969,High Risk,2026-05-28 12:59:57
C20,2026-05-28T12:58:45,176,10,C,0.056818181818181816,0.9431818181818182,High Risk,2026-05-28 12:59:57
FR3M,2026-05-28T12:58:50,228,76,C,0.3333333333333333,0.6666666666666667,Low Risk,2026-05-28 12:59:57
ACE,2026-05-28T12:59:04,485,383,C,0.7896907216494845,0.2103092783505155,Low Risk,2026-05-28 12:59:57
C6,2026-05-28T12:59:07,332,132,C,0.39759036144578314,0.6024096385542168,Low Risk,2026-05-28 12:59:57
TG2,2026-05-28T12:58:51,273,133,C,0.48717948717948717,0.5128205128205128,Low Risk,2026-05-28 12:59:57
BP1,2026-05-28T12:58:59,577,364,C,0.6308492201039861,0.36915077989601386,Low Risk,2026-05-28 12:59:57
TG1,2026-05-28T12:58:47,133,108,C,0.8120300751879699,0.18796992481203012,Low Risk,2026-05-28 12:59:57
TGM2,2026-05-28T12:58:51,189,119,C,0.6296296296296297,0.37037037037037035,Low Risk,2026-05-28 12:59:57
TE14,2026-05-28T12:58:55,105,66,C,0.6285714285714286,0.37142857142857144,Low Risk,2026-05-28 12:59:57
BM3,2026-05-28T12:58:46,5,0,C,0.0,1.0,High Risk,2026-05-28 12:59:57
W93,2026-05-28T12:56:10,375,298,C,0.7946666666666666,0.20533333333333337,Low Risk,2026-05-28 12:59:57
HG44,2026-05-28T12:57:48,155,4,C,0.025806451612903226,0.9741935483870968,High Risk,2026-05-28 12:59:57
HG64,2026-05-28T12:57:50,82,21,C,0.25609756097560976,0.7439024390243902,Medium Risk,2026-05-28 12:59:57
PM27,2026-05-28T12:57:56,326,226,C,0.6932515337423313,0.3067484662576687,Low Risk,2026-05-28 12:59:57
PM28,2026-05-28T12:57:21,309,190,C,0.6148867313915858,0.3851132686084142,Low Risk,2026-05-28 12:59:57
TM36,2026-05-28T12:55:29,225,151,C,0.6711111111111111,0.3288888888888889,Low Risk,2026-05-28 12:59:57
TM37,2026-05-28T12:56:21,244,174,C,0.7131147540983607,0.28688524590163933,Low Risk,2026-05-28 12:59:57
T50,2026-05-28T12:57:51,350,212,C,0.6057142857142858,0.39428571428571424,Low Risk,2026-05-28 12:59:57
T51,2026-05-28T12:57:56,346,187,C,0.5404624277456648,0.4595375722543352,Low Risk,2026-05-28 12:59:57
TM43,2026-05-28T12:57:51,247,148,C,0.5991902834008097,0.4008097165991903,Low Risk,2026-05-28 12:59:57
T15,2026-05-28T12:57:51,30,0,C,0.0,1.0,High Risk,2026-05-28 12:59:57
T16,2026-05-28T12:56:49,109,60,C,0.5504587155963303,0.4495412844036697,Low Risk,2026-05-28 12:59:57
T17,2026-05-28T12:57:54,228,114,C,0.5,0.5,Low Risk,2026-05-28 12:59:57
T18,2026-05-28T12:57:59,81,6,C,0.07407407407407407,0.9259259259259259,High Risk,2026-05-28 12:59:57
B9,2026-05-28T12:57:52,213,167,C,0.784037558685446,0.215962441314554,Low Risk,2026-05-28 12:59:57
B10,2026-05-28T12:58:39,516,309,C,0.5988372093023255,0.40116279069767447,Low Risk,2026-05-28 12:59:57
W92,2026-05-28T12:55:55,280,180,C,0.6428571428571429,0.3571428571428571,Low Risk,2026-05-28 12:59:57
WCB,2026-05-28T12:47:41,143,21,C,0.14685314685314685,0.8531468531468531,Medium Risk,2026-05-28 12:59:57
ACB,2026-05-28T12:57:46,91,3,C,0.03296703296703297,0.967032967032967,High Risk,2026-05-28 12:59:57
CY,2026-05-28T12:56:59,36,0,C,0.0,1.0,High Risk,2026-05-28 12:59:57
AM46,2026-05-28T12:46:57,403,239,C,0.5930521091811415,0.4069478908188585,Low Risk,2026-05-28 12:59:57
A12,2026-05-28T12:58:48,194,144,C,0.7422680412371134,0.25773195876288657,Low Risk,2026-05-28 12:59:57
BE45,2026-05-28T12:59:05,363,223,C,0.6143250688705234,0.3856749311294766,Low Risk,2026-05-28 12:59:57
BE39,2026-05-28T12:58:48,705,347,C,0.4921985815602837,0.5078014184397164,Low Risk,2026-05-28 12:59:57
W74,2026-05-28T12:56:15,365,277,C,0.7589041095890411,0.2410958904109589,Low Risk,2026-05-28 12:59:57
Y79M,2026-05-28T12:56:25,453,325,C,0.717439293598234,0.282560706401766,Low Risk,2026-05-28 12:59:57
CR29,2026-05-28T12:57:59,72,0,C,0.0,1.0,High Risk,2026-05-28 12:59:57
KLM,2026-05-28T12:57:59,348,155,C,0.4454022988505747,0.5545977011494253,Low Risk,2026-05-28 12:59:57
SE34,2026-05-28T12:58:53,270,165,C,0.6111111111111112,0.38888888888888884,Low Risk,2026-05-28 12:59:57
KB7,2026-05-28T12:53:06,65,63,C,0.9692307692307692,0.03076923076923077,Low Risk,2026-05-28 12:59:57
SE31,2026-05-28T12:58:56,187,105,C,0.5614973262032086,0.4385026737967914,Low Risk,2026-05-28 12:59:57
J56,2026-05-28T12:57:00,15,0,C,0.0,1.0,High Risk,2026-05-28 12:59:57
J57,2026-05-28T12:56:57,363,129,C,0.35537190082644626,0.6446280991735538,Low Risk,2026-05-28 12:59:57
J57L,2026-05-28T12:56:57,13,7,C,0.5384615384615384,0.46153846153846156,Low Risk,2026-05-28 12:59:57
J33,2026-05-28T12:57:45,136,93,C,0.6838235294117647,0.3161764705882353,Low Risk,2026-05-28 12:59:57
J34,2026-05-28T12:55:11,105,75,C,0.7142857142857143,0.2857142857142857,Low Risk,2026-05-28 12:59:57
BL8,2026-05-28T12:56:57,657,172,C,0.2617960426179604,0.7382039573820396,Medium Risk,2026-05-28 12:59:57
J36,2026-05-28T12:57:37,491,330,C,0.6720977596741344,0.32790224032586557,Low Risk,2026-05-28 12:59:57
J54,2026-05-28T12:56:52,184,45,C,0.24456521739130435,0.7554347826086957,Medium Risk,2026-05-28 12:59:57
J55,2026-05-28T12:57:13,132,70,C,0.5303030303030303,0.4696969696969697,Low Risk,2026-05-28 12:59:57
J43,2026-05-28T12:57:48,190,132,C,0.6947368421052632,0.3052631578947368,Low Risk,2026-05-28 12:59:57
