carpark_number,update_datetime,total_lots,lots_available,lot_type,availability_rate,parking_pressure,risk_category,retrieved_at
HE12,2026-05-26T16:04:11,105,101,C,0.9619047619047619,0.03809523809523807,Low Risk,2026-05-26 16:05:13
HLM,2026-05-26T16:03:05,583,71,C,0.12178387650085763,0.8782161234991424,Medium Risk,2026-05-26 16:05:13
RHM,2026-05-26T16:03:12,329,180,C,0.547112462006079,0.452887537993921,Low Risk,2026-05-26 16:05:13
BM29,2026-05-26T16:03:07,96,0,C,0.0,1.0,High Risk,2026-05-26 16:05:13
Q81,2026-05-26T16:03:01,97,21,C,0.21649484536082475,0.7835051546391752,Medium Risk,2026-05-26 16:05:13
C20,2026-05-26T16:03:15,176,15,C,0.08522727272727272,0.9147727272727273,High Risk,2026-05-26 16:05:13
FR3M,2026-05-26T16:03:04,228,163,C,0.7149122807017544,0.2850877192982456,Low Risk,2026-05-26 16:05:13
ACE,2026-05-26T16:04:30,485,385,C,0.7938144329896907,0.20618556701030932,Low Risk,2026-05-26 16:05:13
C6,2026-05-26T16:03:06,332,174,C,0.5240963855421686,0.47590361445783136,Low Risk,2026-05-26 16:05:13
TG2,2026-05-26T16:03:03,273,145,C,0.5311355311355311,0.46886446886446886,Low Risk,2026-05-26 16:05:13
BP1,2026-05-26T16:03:28,577,387,C,0.6707105719237435,0.3292894280762565,Low Risk,2026-05-26 16:05:13
TG1,2026-05-26T16:03:01,133,103,C,0.7744360902255639,0.22556390977443608,Low Risk,2026-05-26 16:05:13
TGM2,2026-05-26T16:03:03,189,137,C,0.7248677248677249,0.2751322751322751,Low Risk,2026-05-26 16:05:13
TE14,2026-05-26T16:03:03,105,69,C,0.6571428571428571,0.34285714285714286,Low Risk,2026-05-26 16:05:13
BM3,2026-05-26T16:03:17,5,0,C,0.0,1.0,High Risk,2026-05-26 16:05:13
W93,2026-05-26T16:01:17,375,287,C,0.7653333333333333,0.2346666666666667,Low Risk,2026-05-26 16:05:13
HG44,2026-05-26T16:03:44,155,23,C,0.14838709677419354,0.8516129032258064,Medium Risk,2026-05-26 16:05:13
HG64,2026-05-26T16:03:43,82,23,C,0.2804878048780488,0.7195121951219512,Medium Risk,2026-05-26 16:05:13
PM27,2026-05-26T16:03:49,326,217,C,0.6656441717791411,0.33435582822085885,Low Risk,2026-05-26 16:05:13
PM28,2026-05-26T16:03:13,309,176,C,0.56957928802589,0.43042071197411,Low Risk,2026-05-26 16:05:13
TM36,2026-05-26T16:02:47,225,143,C,0.6355555555555555,0.36444444444444446,Low Risk,2026-05-26 16:05:13
TM37,2026-05-26T15:57:55,244,173,C,0.7090163934426229,0.2909836065573771,Low Risk,2026-05-26 16:05:13
T50,2026-05-26T16:02:35,350,216,C,0.6171428571428571,0.3828571428571429,Low Risk,2026-05-26 16:05:13
T51,2026-05-26T16:02:15,346,194,C,0.5606936416184971,0.4393063583815029,Low Risk,2026-05-26 16:05:13
TM43,2026-05-26T16:01:51,247,171,C,0.6923076923076923,0.3076923076923077,Low Risk,2026-05-26 16:05:13
T15,2026-05-26T16:01:51,30,0,C,0.0,1.0,High Risk,2026-05-26 16:05:13
T16,2026-05-26T16:02:48,109,63,C,0.5779816513761468,0.42201834862385323,Low Risk,2026-05-26 16:05:13
T17,2026-05-26T16:02:57,228,122,C,0.5350877192982456,0.4649122807017544,Low Risk,2026-05-26 16:05:13
T18,2026-05-26T16:01:57,81,0,C,0.0,1.0,High Risk,2026-05-26 16:05:13
B9,2026-05-26T16:03:05,213,169,C,0.7934272300469484,0.20657276995305163,Low Risk,2026-05-26 16:05:13
B10,2026-05-26T16:03:51,516,324,C,0.627906976744186,0.37209302325581395,Low Risk,2026-05-26 16:05:13
W92,2026-05-26T16:01:29,280,173,C,0.6178571428571429,0.3821428571428571,Low Risk,2026-05-26 16:05:13
WCB,2026-05-26T16:01:40,143,4,C,0.027972027972027972,0.972027972027972,High Risk,2026-05-26 16:05:13
ACB,2026-05-26T16:02:59,91,2,C,0.02197802197802198,0.978021978021978,High Risk,2026-05-26 16:05:13
CY,2026-05-26T16:02:39,36,0,C,0.0,1.0,High Risk,2026-05-26 16:05:13
AM46,2026-05-26T15:57:50,403,237,C,0.5880893300248139,0.4119106699751861,Low Risk,2026-05-26 16:05:13
A12,2026-05-26T16:03:10,194,138,C,0.711340206185567,0.28865979381443296,Low Risk,2026-05-26 16:05:13
BE45,2026-05-26T16:03:14,363,212,C,0.5840220385674931,0.41597796143250687,Low Risk,2026-05-26 16:05:13
BE39,2026-05-26T16:03:05,705,368,C,0.5219858156028369,0.47801418439716314,Low Risk,2026-05-26 16:05:13
W74,2026-05-26T16:01:05,365,272,C,0.7452054794520548,0.25479452054794516,Low Risk,2026-05-26 16:05:13
Y79M,2026-05-26T15:53:40,453,332,C,0.7328918322295805,0.26710816777041946,Low Risk,2026-05-26 16:05:13
CR29,2026-05-26T16:02:16,72,4,C,0.05555555555555555,0.9444444444444444,High Risk,2026-05-26 16:05:13
KLM,2026-05-26T16:02:16,348,188,C,0.5402298850574713,0.45977011494252873,Low Risk,2026-05-26 16:05:13
SE34,2026-05-26T16:03:01,270,151,C,0.5592592592592592,0.44074074074074077,Low Risk,2026-05-26 16:05:13
KB7,2026-05-26T16:01:32,65,63,C,0.9692307692307692,0.03076923076923077,Low Risk,2026-05-26 16:05:13
SE31,2026-05-26T16:03:09,187,85,C,0.45454545454545453,0.5454545454545454,Low Risk,2026-05-26 16:05:13
J56,2026-05-26T16:02:34,15,0,C,0.0,1.0,High Risk,2026-05-26 16:05:13
J57,2026-05-26T16:02:41,363,113,C,0.31129476584022037,0.6887052341597797,Low Risk,2026-05-26 16:05:13
J57L,2026-05-26T16:02:41,13,4,C,0.3076923076923077,0.6923076923076923,Low Risk,2026-05-26 16:05:13
J33,2026-05-26T16:02:34,136,88,C,0.6470588235294118,0.3529411764705882,Low Risk,2026-05-26 16:05:13
J34,2026-05-26T16:02:13,105,66,C,0.6285714285714286,0.37142857142857144,Low Risk,2026-05-26 16:05:13
BL8,2026-05-26T16:02:57,657,286,C,0.4353120243531202,0.5646879756468798,Low Risk,2026-05-26 16:05:13
J36,2026-05-26T16:01:54,491,312,C,0.6354378818737271,0.3645621181262729,Low Risk,2026-05-26 16:05:13
J54,2026-05-26T16:01:07,184,62,C,0.33695652173913043,0.6630434782608696,Low Risk,2026-05-26 16:05:13
J55,2026-05-26T16:02:21,132,83,C,0.6287878787878788,0.3712121212121212,Low Risk,2026-05-26 16:05:13
J43,2026-05-26T16:02:07,190,119,C,0.6263157894736842,0.37368421052631584,Low Risk,2026-05-26 16:05:13
J46,2026-05-26T16:02:04,63,9,C,0.14285714285714285,0.8571428571428572,Medium Risk,2026-05-26 16:05:13
KB1,2026-05-26T15:56:58,239,237,C,0.9916317991631799,0.008368200836820106,Low Risk,2026-05-26 16:05:13
GBM,2026-05-26T15:56:58,677,671,C,0.9911373707533235,0.008862629246676468,Low Risk,2026-05-26 16:05:13
