carpark_number,update_datetime,total_lots,lots_available,lot_type,availability_rate,parking_pressure,risk_category,retrieved_at
HE12,2026-05-26T00:38:00,105,101,C,0.9619047619047619,0.03809523809523807,Low Risk,2026-05-26 00:39:08
HLM,2026-05-26T00:37:58,583,506,C,0.8679245283018868,0.13207547169811318,Low Risk,2026-05-26 00:39:08
RHM,2026-05-26T00:38:00,329,143,C,0.43465045592705165,0.5653495440729484,Low Risk,2026-05-26 00:39:08
BM29,2026-05-26T00:38:12,96,81,C,0.84375,0.15625,Low Risk,2026-05-26 00:39:08
Q81,2026-05-26T00:37:55,97,86,C,0.8865979381443299,0.11340206185567014,Low Risk,2026-05-26 00:39:08
C20,2026-05-26T00:38:11,176,163,C,0.9261363636363636,0.07386363636363635,Low Risk,2026-05-26 00:39:08
FR3M,2026-05-26T00:37:54,228,169,C,0.7412280701754386,0.25877192982456143,Low Risk,2026-05-26 00:39:08
ACE,2026-05-26T00:37:53,485,453,C,0.934020618556701,0.06597938144329896,Low Risk,2026-05-26 00:39:08
C6,2026-05-26T00:38:12,332,132,C,0.39759036144578314,0.6024096385542168,Low Risk,2026-05-26 00:39:08
TG2,2026-05-26T00:38:13,273,102,C,0.37362637362637363,0.6263736263736264,Low Risk,2026-05-26 00:39:08
BP1,2026-05-26T00:38:19,577,274,C,0.4748700173310225,0.5251299826689775,Low Risk,2026-05-26 00:39:08
TG1,2026-05-26T00:38:14,133,64,C,0.48120300751879697,0.518796992481203,Low Risk,2026-05-26 00:39:08
TGM2,2026-05-26T00:38:13,189,103,C,0.544973544973545,0.455026455026455,Low Risk,2026-05-26 00:39:08
TE14,2026-05-26T00:37:55,105,36,C,0.34285714285714286,0.6571428571428571,Low Risk,2026-05-26 00:39:08
BM3,2026-05-26T00:38:09,5,0,C,0.0,1.0,High Risk,2026-05-26 00:39:08
W93,2026-05-26T00:35:24,375,222,C,0.592,0.40800000000000003,Low Risk,2026-05-26 00:39:08
HG44,2026-05-26T00:37:07,155,54,C,0.34838709677419355,0.6516129032258065,Low Risk,2026-05-26 00:39:08
HG64,2026-05-26T00:37:30,82,39,C,0.47560975609756095,0.524390243902439,Low Risk,2026-05-26 00:39:08
PM27,2026-05-26T00:36:53,326,120,C,0.36809815950920244,0.6319018404907976,Low Risk,2026-05-26 00:39:08
PM28,2026-05-26T00:37:39,309,103,C,0.3333333333333333,0.6666666666666667,Low Risk,2026-05-26 00:39:08
TM36,2026-05-26T00:36:10,225,71,C,0.31555555555555553,0.6844444444444444,Low Risk,2026-05-26 00:39:08
TM37,2026-05-26T00:37:11,244,68,C,0.2786885245901639,0.7213114754098361,Medium Risk,2026-05-26 00:39:08
T50,2026-05-26T00:36:15,350,115,C,0.32857142857142857,0.6714285714285715,Low Risk,2026-05-26 00:39:08
T51,2026-05-26T00:36:59,346,50,C,0.14450867052023122,0.8554913294797688,Medium Risk,2026-05-26 00:39:08
TM43,2026-05-26T00:37:46,247,175,C,0.708502024291498,0.291497975708502,Low Risk,2026-05-26 00:39:08
T15,2026-05-26T00:37:46,30,17,C,0.5666666666666667,0.43333333333333335,Low Risk,2026-05-26 00:39:08
T16,2026-05-26T00:37:33,109,45,C,0.41284403669724773,0.5871559633027523,Low Risk,2026-05-26 00:39:08
T17,2026-05-26T00:36:29,228,110,C,0.4824561403508772,0.5175438596491229,Low Risk,2026-05-26 00:39:08
T18,2026-05-26T00:36:38,81,15,C,0.18518518518518517,0.8148148148148149,Medium Risk,2026-05-26 00:39:08
B9,2026-05-26T00:37:52,213,135,C,0.6338028169014085,0.3661971830985915,Low Risk,2026-05-26 00:39:08
B10,2026-05-26T00:37:15,516,204,C,0.3953488372093023,0.6046511627906976,Low Risk,2026-05-26 00:39:08
W92,2026-05-26T00:35:13,280,77,C,0.275,0.725,Medium Risk,2026-05-26 00:39:08
WCB,2026-05-26T00:36:28,143,83,C,0.5804195804195804,0.4195804195804196,Low Risk,2026-05-26 00:39:08
ACB,2026-05-26T00:37:01,91,64,C,0.7032967032967034,0.29670329670329665,Low Risk,2026-05-26 00:39:08
CY,2026-05-26T00:37:01,36,16,C,0.4444444444444444,0.5555555555555556,Low Risk,2026-05-26 00:39:08
AM46,2026-05-26T00:26:51,403,80,C,0.19851116625310175,0.8014888337468983,Medium Risk,2026-05-26 00:39:08
A12,2026-05-26T00:38:15,194,105,C,0.5412371134020618,0.4587628865979382,Low Risk,2026-05-26 00:39:08
BE45,2026-05-26T00:38:14,363,50,C,0.13774104683195593,0.862258953168044,Medium Risk,2026-05-26 00:39:08
BE39,2026-05-26T00:38:19,705,118,C,0.1673758865248227,0.8326241134751773,Medium Risk,2026-05-26 00:39:08
W74,2026-05-26T00:35:16,365,172,C,0.4712328767123288,0.5287671232876712,Low Risk,2026-05-26 00:39:08
Y79M,2026-05-26T00:35:40,453,175,C,0.38631346578366443,0.6136865342163356,Low Risk,2026-05-26 00:39:08
CR29,2026-05-26T00:36:28,72,18,C,0.25,0.75,Medium Risk,2026-05-26 00:39:08
KLM,2026-05-26T00:36:28,348,269,C,0.7729885057471264,0.2270114942528736,Low Risk,2026-05-26 00:39:08
SE34,2026-05-26T00:38:04,270,67,C,0.24814814814814815,0.7518518518518519,Medium Risk,2026-05-26 00:39:08
KB7,2026-05-26T00:34:05,65,63,C,0.9692307692307692,0.03076923076923077,Low Risk,2026-05-26 00:39:08
SE31,2026-05-26T00:37:54,187,6,C,0.03208556149732621,0.9679144385026738,High Risk,2026-05-26 00:39:08
J56,2026-05-26T00:30:59,15,10,C,0.6666666666666666,0.33333333333333337,Low Risk,2026-05-26 00:39:08
J57,2026-05-26T00:36:57,363,350,C,0.9641873278236914,0.03581267217630857,Low Risk,2026-05-26 00:39:08
J57L,2026-05-26T00:36:57,13,10,C,0.7692307692307693,0.23076923076923073,Low Risk,2026-05-26 00:39:08
J33,2026-05-26T00:33:48,136,56,C,0.4117647058823529,0.5882352941176471,Low Risk,2026-05-26 00:39:08
J34,2026-05-26T00:34:18,105,32,C,0.3047619047619048,0.6952380952380952,Low Risk,2026-05-26 00:39:08
BL8,2026-05-26T00:37:03,657,308,C,0.4687975646879756,0.5312024353120244,Low Risk,2026-05-26 00:39:08
J36,2026-05-26T00:36:59,491,113,C,0.23014256619144602,0.769857433808554,Medium Risk,2026-05-26 00:39:08
J54,2026-05-26T00:37:28,184,117,C,0.6358695652173914,0.36413043478260865,Low Risk,2026-05-26 00:39:08
J55,2026-05-26T00:34:41,132,91,C,0.6893939393939394,0.31060606060606055,Low Risk,2026-05-26 00:39:08
J43,2026-05-26T00:34:38,190,56,C,0.29473684210526313,0.7052631578947368,Medium Risk,2026-05-26 00:39:08
J46,2026-05-26T00:37:14,63,42,C,0.6666666666666666,0.33333333333333337,Low Risk,2026-05-26 00:39:08
KB1,2026-05-26T00:33:16,239,236,C,0.9874476987447699,0.012552301255230103,Low Risk,2026-05-26 00:39:08
GBM,2026-05-26T00:33:16,677,671,C,0.9911373707533235,0.008862629246676468,Low Risk,2026-05-26 00:39:08
SE14,2026-05-26T00:38:02,187,62,C,0.3315508021390374,0.6684491978609626,Low Risk,2026-05-26 00:39:08
SE50,2026-05-26T00:38:02,591,380,C,0.6429780033840947,0.3570219966159053,Low Risk,2026-05-26 00:39:08
J40,2026-05-26T00:36:03,206,39,C,0.18932038834951456,0.8106796116504854,Medium Risk,2026-05-26 00:39:08
JM1,2026-05-26T00:37:36,268,146,C,0.5447761194029851,0.4552238805970149,Low Risk,2026-05-26 00:39:08
